时间,457+508,505+457+508,505+457
59.8,45.14316056,26.43120339,12.3863874
59.9,45.8558078,21.50150704,3.752201215
60,46.2278158,16.61190698,-4.73062615
60.1,46.26298265,11.84920174,-12.95313706
60.2,45.96757142,7.295344741,-20.81204067
60.3,45.35021923,3.026159563,-28.21112919
60.4,44.42182882,-0.889828067,-35.06257165
60.5,43.19544386,-4.39242378,-41.28806642
60.6,41.68610924,-7.430647984,-46.81983634
60.7,39.91071759,-9.96345612,-51.60145253
60.8,37.88784363,-11.96028537,-55.58847606
60.9,35.63756765,-13.40142031,-58.74890914
61,33.18128998,-14.27817286,-61.06345087
61.1,30.54153792,-14.59287505,-62.52555546
61.2,27.74176681,-14.35868602,-63.14129406
61.3,24.80615712,-13.59921773,-62.92902417
61.4,21.75940914,-12.34798672,-61.91887386
61.5,18.62653704,-10.64770214,-60.15205077
61.6,15.43266402,-8.549402755,-57.67998843
61.7,12.20282029,-6.111458141,-54.56334501
61.8,8.961745333,-3.398451297,-50.87087196
61.9,5.733696231,-0.479961933,-46.67817161
62,2.542263447,2.570728917,-42.06636472
62.1,-0.589804512,5.677991031,-37.12069007
62.2,-3.640766209,8.765231113,-31.92905915
62.3,-6.590040948,11.75628964,-26.5805896
62.4,-9.4183499,14.57682509,-21.16414113
62.5,-12.1078437,17.15566253,-15.76687753
62.6,-14.64221567,19.42608406,-10.47287765
62.7,-17.00679993,21.32703972,-5.361817508
62.8,-19.18865381,22.80425886,-0.507744185
62.9,-21.17662416,23.81124354,4.022039473
63,-22.96139726,24.31012748,8.16796204
63.1,-24.53553212,24.2723865,11.8790277
63.2,-25.89347722,23.67938866,15.11350488
63.3,-27.03157087,22.52277496,17.83944934
63.4,-27.94802535,20.80466449,20.03505468
63.5,-28.64289539,18.5376804,21.68882576
63.6,-29.11803139,15.74479648,22.79957395
63.7,-29.37701818,12.45900655,23.37623546
63.8,-29.42510004,8.722822385,23.43751754
63.9,-29.26909285,4.58760811,23.0113796
64,-28.91728447,0.112762069,22.13435934
64.1,-28.37932432,-4.63524043,20.85075645
64.2,-27.66610341,-9.583927857,19.2116885
64.3,-26.78962596,-14.65601896,17.27403611
64.4,-25.76287402,-19.7706956,15.09929589
64.5,-24.59966633,-24.84494097,12.75236125
64.6,-23.3145128,-29.79492136,10.30025244
64.7,-21.92246601,-34.53738862,7.810817696
64.8,-20.43897111,-38.99108032,5.351428016
64.9,-18.87971556,-43.07809458,2.987687982
65,-17.26047991,-46.7252168,0.782184845
65.1,-15.59699121,-49.86517636,-1.206702689
65.2,-13.9047801,-52.43781258,-2.92591554
65.3,-12.19904299,-54.39113034,-4.328726126
65.4,-10.49451044,-55.6822279,-5.375633675
65.5,-8.805322874,-56.2780812,-6.035127555
65.6,-7.144914613,-56.15617142,-6.284305482
65.7,-5.52590723,-55.30494496,-6.109335845
65.8,-3.960013021,-53.72409776,-5.505756059
65.9,-2.457949336,-51.42467871,-4.478601588
66,-1.02936441,-48.4290098,-3.042363123
66.1,0.317224807,-44.77042356,-1.220772301
66.2,1.574482411,-40.49282141,0.953580784
66.3,2.736290636,-35.65005942,3.439792171
66.4,3.797774102,-30.30517053,6.189341892
66.5,4.755311202,-24.52943553,9.146933684
66.6,5.606532699,-18.40131671,12.2514627
66.7,6.350307749,-12.00527133,15.43709518
66.8,6.986717663,-5.430463067,18.63444216
66.9,7.51701784,1.230607924,21.77180756
67,7.943588408,7.883534825,24.77648981
67.1,8.269874221,14.43347111,27.57611499
67.2,8.500314925,20.78661127,30.09997912
67.3,8.64026594,26.85166172,32.28037661
67.4,8.695911233,32.5412783,34.05389246
67.5,8.674168864,37.77344724,35.36263573
67.6,8.582590334,42.47278747,36.15539318
67.7,8.42925481,46.57175315,36.38868282
67.8,8.222659348,50.01171686,36.02768887
67.9,7.971606276,52.74391587,35.04706124
68,7.68508889,54.73024593,33.43156503
68.1,7.372176654,55.94388945,31.17656776
68.2,7.041901081,56.36976742,28.28835464
68.3,6.703143444,56.00480747,24.78426489
68.4,6.36452547,54.85802315,20.69264528
68.5,6.03430412,52.95040243,16.05261949
68.6,5.720271497,50.31460679,10.91367545
68.7,5.429660918,46.99448497,5.335075344
68.8,5.169060055,43.04440843,-0.614903789
68.9,4.944332049,38.52843866,-6.859888502
69,4.76054536,33.51933894,-13.31647303
69.1,4.621913072,28.0974457,-19.89541345
69.2,4.53174225,22.34941699,-26.50293413
69.3,4.492393868,16.36687753,-33.04212648
69.4,4.505253708,10.24498138,-39.41441879
69.5,4.570714523,4.080914868,-45.52109438
69.6,4.688169661,-2.027636757,-51.26483432
69.7,4.856018221,-7.984034849,-56.55126063
69.8,5.071681692,-13.69422052,-61.29045549
69.9,5.331631943,-19.06821125,-65.39843224
70,5.631430285,-24.02153704,-68.79853462
70.1,5.965777232,-28.47659339,-71.42274144
70.2,6.328572499,-32.36388924,-73.21285545
70.3,6.71298463,-35.62317,-74.12155675
70.4,7.111529605,-38.20439742,-74.11330286
70.5,7.516157633,-40.06857047,-73.16506018
70.6,7.918347293,-41.18837366,-71.26685389
70.7,8.30920609,-41.54864206,-68.42212607
70.8,8.679576426,-41.14663516,-64.64789476
70.9,9.020145926,-39.99211454,-59.97470985
71,9.321561028,-38.10722349,-54.44640453
71.1,9.574542672,-35.52616992,-48.11964447
71.2,9.770002924,-32.29471682,-41.06327981
71.3,9.899161348,-28.46948771,-33.3575083
71.4,9.953659915,-24.11709734,-25.09286066
71.5,9.925675263,-19.31312083,-16.36902226
71.6,9.808027124,-14.14091678,-7.293507613
71.7,9.59428177,-8.690322469,2.019793303
71.8,9.278849359,-3.056241168,11.45217605
71.9,8.857074118,2.66285664,20.88176721
72,8.325316352,8.366494893,30.18523028
72.1,7.68102534,13.95379217,39.23950677
72.2,6.922802267,19.32507551,47.92356677
72.3,6.050452398,24.38348266,56.12014282
72.4,5.065025834,29.0365276,63.71742113
72.5,3.968846262,33.19760462,70.61066488
72.6,2.765527234,36.78740739,76.703745
72.7,1.459975614,39.73524043,81.91055523
72.8,0.058381962,41.98020208,86.15629017
72.9,-1.431802263,43.47222013,89.37856649
73,-3.001900677,44.17292335,91.52837037
73.1,-4.642060981,44.05633483,92.57081637
73.2,-6.341316764,43.10937554,92.48570585
73.3,-8.087661698,41.33216972,91.2678762
73.4,-9.86813564,38.73814647,88.92733497
73.5,-11.668922,35.35393531,85.48917649
73.6,-13.47545568,31.21905654,80.99328158
73.7,-15.27254065,26.38541037,75.49380442
73.8,-17.04447635,20.91657197,69.05845365
73.9,-18.77519175,14.88690267,61.76757799
74,-20.44838601,8.380490257,53.7130696
74.1,-22.04767453,1.489934171,44.99710106
74.2,-23.55673913,-5.685006454,35.73071431
74.3,-24.95948094,-13.03888143,26.03228244
74.4,-26.24017485,-20.46211287,16.02586655
74.5,-27.3836238,-27.8426295,5.839492064
74.6,-28.37531186,-35.06754736,-4.39663034
74.7,-29.20155435,-42.02487114,-14.551913
74.8,-29.84964371,-48.60519044,-24.49720223
74.9,-30.30798984,-54.70334507,-34.10656534
75,-30.56625324,-60.22003384,-43.25902765
75.1,-30.61546994,-65.0633425,-51.84023402
75.2,-30.44816671,-69.15016706,-59.74401067
75.3,-30.05846548,-72.40751108,-66.87380468
75.4,-29.44217584,-74.77363662,-73.14398027
75.5,-28.59687446,-76.19905136,-78.48095334
75.6,-27.52197068,-76.64731658,-82.82414794
75.7,-26.21875736,-76.0956634,-86.12676146
75.8,-24.69044622,-74.53540777,-88.35632782
75.9,-22.94218728,-71.97215762,-89.49507125
76,-20.98107177,-68.42580865,-89.54004633
76.1,-18.81611829,-63.93032881,-88.50306332
76.2,-16.45824215,-58.53333425,-86.41040071
76.3,-13.92020767,-52.29546303,-83.30231063
76.4,-11.21656378,-45.28955596,-79.23232525
76.5,-8.363563074,-37.59965651,-74.26637586
76.6,-5.379064819,-29.31984493,-68.48173869
76.7,-2.282422449,-20.55292393,-61.96582415
76.8,0.90564371,-11.40897561,-54.8148287
76.9,4.163187641,-2.003811156,-47.13227019
77,7.467191777,7.542663295,-39.02742947
77.1,10.79373297,17.1081404,-30.61372224
77.2,14.11815906,26.56963949,-22.00702592
77.3,17.41527473,35.80524282,-13.32398725
77.4,20.65953517,44.69581433,-4.680335947
77.5,23.82524613,53.12667543,3.810769999
77.6,26.88676867,60.98921274,12.04034276
77.7,29.81872705,68.18239426,19.90508315
77.8,32.59621799,74.61417145,27.30879668
77.9,35.19501963,80.20274687,34.1636868
78,37.5917985,84.8776887,40.39150643
78.1,39.76431255,88.58087636,45.92455179
78.2,41.69160878,91.26726358,50.70648456
78.3,43.35421354,92.90544834,54.69297153
78.4,44.73431394,93.47804215,57.85213355
78.5,45.8159287,92.98183385,60.16479879
78.6,46.58506697,91.42774675,61.6245583
78.7,47.02987354,88.84059066,62.23762493
78.8,47.14075917,85.25861373,62.02249986
78.9,46.91051477,80.7328619,61.00945387
79,46.33440817,75.32635675,59.23983334
79.1,45.41026264,69.11310531,56.7652037
79.2,44.13851618,62.17695761,53.64634543
79.3,42.52226079,54.6103304,49.95212006
79.4,40.56726135,46.51281718,45.75822545
79.5,38.28195348,37.98970614,41.14586118
79.6,35.67742026,29.15042945,36.20032636
79.7,32.76734767,20.10696764,31.00957285
79.8,29.5679589,10.97223369,25.6627376
79.9,26.09792773,1.858461628,20.24867789
80,22.37827148,-7.12437599,14.85453295
80.1,18.43222406,-15.87009775,9.564335179
80.2,14.28508996,-24.2777674,4.457692737
80.3,9.964080044,-32.25305057,-0.391435654
80.4,5.498130332,-39.7094544,-4.915854604
80.5,0.917704871,-46.56943202,-9.056117545
80.6,-3.745415822,-52.76533638,-12.76136885
80.7,-8.458359306,-58.24021002,-15.99003006
80.8,-13.18739711,-62.9484004,-18.71032035
80.9,-17.89819026,-66.85599308,-20.90060407
81,-22.55604261,-69.94105788,-22.54956118
81.1,-27.12616011,-72.19370628,-23.65617919
81.2,-31.57391398,-73.61596135,-24.22956828
81.3,-35.86510592,-74.22144436,-24.28860418
81.4,-39.96623308,-74.03488506,-23.86140601
81.5,-43.844751,-73.09146565,-22.98465929
81.6,-47.46933223,-71.43601073,-21.70279656
81.7,-50.81011866,-69.12203809,-20.06705058
81.8,-53.83896557,-66.21068723,-18.13439689
81.9,-56.52967537,-62.76954448,-15.96640451
82,-58.85821911,-58.87138488,-13.62801495
82.1,-60.80294399,-54.59285244,-11.18627067
82.2,-62.34476496,-50.01310107,-8.709015205
82.3,-63.46733907,-45.21241897,-6.263587281
82.4,-64.15722063,-40.27085952,-3.915531459
82.5,-64.40399623,-35.26690117,-1.7273475
82.6,-64.20039802,-30.27615849,0.242700111
82.7,-63.54239443,-25.37016535,1.941692044
82.8,-62.42925718,-20.61524991,3.323064362
82.9,-60.86360404,-16.07151955,4.347501774
83,-58.85141663,-11.79197175,4.983698534
83.1,-56.40203296,-7.821745012,5.208973849
83.2,-53.52811443,-4.197521107,5.009731113
83.3,-50.24558744,-0.947087783,4.381752912
83.4,-46.57355968,1.910932034,3.33032648
83.5,-42.53421157,4.367181136,1.870197182
83.6,-38.15266338,6.421498569,0.025350436
83.7,-33.45681891,8.082682213,-2.171374588
83.8,-28.47718664,9.368088658,-4.678833334
83.9,-23.24667944,10.30307834,-7.448277407
84,-17.80039435,10.92031652,-10.42419779
84.1,-12.17537366,11.25894317,-13.54529586
84.2,-6.410349229,11.36362687,-16.74556609
84.3,-0.545471566,11.28352006,-19.95547243
84.4,5.377974237,11.07113423,-23.10319875
84.5,11.31786376,10.78115555,-26.11595236
84.6,17.23153751,10.4692218,-28.92129864
84.7,23.07611203,10.19068282,-31.44850428
84.8,28.80879549,9.999366308,-33.62986634
84.9,34.3872054,9.946371289,-35.40200433
85,39.76968616,10.07891085,-36.70709329
85.1,44.91562395,10.43922499,-37.49401643
85.2,49.78575659,11.06358326,-37.71941719
85.3,54.34247599,11.98139552,-37.34863229
85.4,58.55012082,13.21444725,-36.35648887
85.5,62.37525717,14.77627365,-34.72795126
85.6,65.78694489,16.67168489,-32.4586051
85.7,68.75698756,18.8964518,-29.55496924
85.8,71.26016406,21.43715907,-26.03462849
85.9,73.27443981,24.27122994,-21.92618325
86,74.78115595,27.36712363,-17.26901504
86.1,75.76519484,30.68470372,-12.1128698
86.2,76.21512053,34.17577291,-6.517263989
86.3,76.1232928,37.78476665,-0.550721156
86.4,75.48595387,41.44959546,5.710150163
86.5,74.30328676,45.10262317,12.18172416
86.6,72.57944481,48.67176587,18.77455524
86.7,70.3225518,52.08169435,25.39468743
86.8,67.5446725,55.25512078,31.94505587
86.9,64.26175363,58.11414889,38.32695885
87,60.49353556,60.58166571,44.44157778
87.1,56.26343503,62.5827519,50.19152129
87.2,51.59839973,64.04608733,55.48236931
87.3,46.52873555,64.90532825,60.22419262
87.4,41.08790765,65.10043288,64.33302378
87.5,35.31231664,64.57891246,67.73225569
87.6,29.2410514,63.29698623,70.35394519
87.7,22.91562025,61.22061978,72.14000036
87.8,16.37966231,58.32642815,73.04323188
87.9,9.678641172,54.60242674,73.02825072
88,2.859522947,50.04861581,72.07219685
88.1,-4.029558841,44.67738631,70.16528599
88.2,-10.93964922,38.51373797,67.31116444
88.3,-17.82132596,31.59530325,63.52706458
88.4,-24.62505947,23.97217369,58.84375708
88.5,-31.30157561,15.70652861,53.30529855
88.6,-37.80221885,6.872068692,46.96857698
88.7,-44.07931295,-2.446739356,39.90265999
88.8,-50.08651649,-12.15559824,32.18795432
88.9,-55.77917057,-22.15148378,23.91518776
89,-61.11463595,-32.32390229,15.1842276
89.1,-66.05261711,-42.55628451,6.102752176
89.2,-70.55547074,-52.72749676,-3.215205403
89.3,-74.58849622,-62.7134479,-12.65082051
89.4,-78.12020587,-72.3887692,-22.08212431
89.5,-81.12257273,-81.62854252,-31.38571104
89.6,-83.57125409,-90.31005176,-40.43848007
89.7,-85.44578883,-98.31453147,-49.11938687
89.8,-86.72976694,-105.5288867,-57.31117694
89.9,-87.41096999,-111.8473581,-64.90207648
90,-87.48148124,-117.1731074,-71.7874148
90.1,-86.93776433,-121.419698,-77.87115362
90.2,-85.78071013,-124.5124498,-83.06730045
90.3,-84.01565088,-126.3896448,-87.30118428
90.4,-81.6523417,-127.0035662,-90.51057441
90.5,-78.70490928,-126.3213532,-92.64662497
90.6,-75.191768,-124.325659,-93.67463072
90.7,-71.1355041,-121.0150982,-93.57458224
90.8,-66.56272854,-116.4044784,-92.34151174
90.9,-61.50389953,-110.5248087,-89.9856237
91,-55.99311596,-103.4230848,-86.53220805
91.1,-50.06788316,-95.1618512,-82.02133643
91.2,-43.76885269,-85.81854671,-76.50734571
91.3,-37.13953783,-75.48463966,-70.058116
91.4,-30.22600708,-64.26456538,-62.75415333
91.5,-23.0765576,-52.27447939,-54.68749034
91.6,-15.74137115,-39.64084339,-45.96042091
91.7,-8.272154944,-26.49886333,-36.68408721
91.8,-0.72177008,-12.99080125,-26.97693984
91.9,6.856149786,0.735815716,-16.96309358
92,14.40758663,14.530064,-6.770602986
92.1,21.87853032,28.23954389,3.470316958
92.2,29.21537204,41.71232436,13.6290989
92.3,36.36529586,54.79888495,23.57663341
92.4,43.27666577,67.35402757,33.187055
92.5,49.89940496,79.2387311,42.33947754
92.6,56.1853649,90.32192279,50.91965394
92.7,62.08868106,100.4821415,58.82153575
92.8,67.56611298,109.6090697,65.94871006
92.9,72.57736584,117.6049124,72.21569301
93,77.08539129,124.3856047,77.54906118
93.1,81.05666513,129.8818305,81.88840498
93.2,84.4614399,134.0398393,85.18709047
93.3,87.27397028,136.8220498,87.41281915
93.4,89.47270976,138.2074328,88.54797848
93.5,91.04047685,138.1916692,88.58977862
93.6,91.96458981,136.7870814,87.5501746
93.7,92.23696861,134.0223408,85.45557599
93.8,91.85420344,129.9419561,82.34634953
93.9,90.81758917,124.6055522,78.27612322
94,89.13312548,118.0869502,73.31090324
94.1,86.8114825,110.4730627,67.52801812
94.2,83.86793233,101.8626235,61.01490669
94.3,80.32224671,92.36476809,53.86776904
94.4,76.19856169,82.09748954,46.19010153
94.5,71.52521016,71.18599027,38.09113837
94.6,66.33452345,59.76095612,29.68422395
94.7,60.66260346,47.95677721,21.08514076
94.8,54.54906689,35.90974217,12.41041824
94.9,48.03676346,23.75623179,3.77564833
95,41.17147018,11.63093831,-4.706167106
95.1,34.00156379,-0.334864228,-12.92621217
95.2,26.57767391,-12.01497407,-20.78137259
95.3,18.95231927,-23.28981709,-28.17564868
95.4,11.17952982,-34.04788201,-35.02144528
95.5,3.314457263,-44.187016,-41.24071989
95.6,-4.587022789,-53.61556354,-46.7659729
95.7,-12.46871452,-62.25333398,-51.54106624
95.8,-20.27450825,-70.03238587,-55.52185945
95.9,-27.94878647,-76.89761926,-58.67665523
96,-35.43682677,-82.80716983,-60.9864494
96.1,-42.68519838,-87.73260234,-62.44498333
96.2,-49.64214979,-91.6589034,-63.05860009
96.3,-56.25798426,-94.58427709,-62.84590842
96.4,-62.48542071,-96.51974986,-61.83726186
96.5,-68.27993714,-97.48859384,-60.07406297
96.6,-73.60009425,-97.52558067,-57.60790539
96.7,-78.40783665,-96.67608029,-54.49956898
96.8,-82.66876969,-94.99502145,-50.81788536
96.9,-86.35240968,-92.54573262,-46.63849322
97,-89.43240565,-89.39868379,-42.04250419
97.1,-91.88673124,-85.63015078,-37.11510162
97.2,-93.69784498,-81.32082474,-31.94409526
97.3,-94.85281807,-76.55439015,-26.61845539
97.4,-95.34342848,-71.41609484,-21.22685034
97.5,-95.16622085,-65.9913353,-15.85621074
97.6,-94.32253162,-60.36428017,-10.59034362
97.7,-92.8184793,-54.61655374,-5.50861827
97.8,-90.66491981,-48.8260003,-0.68474444
97.9,-87.87736743,-43.0655482,3.814337941
98,-84.47588166,-37.40219113,7.92944055
98.1,-80.48492112,-31.89610157,11.60996502
98.2,-75.93316529,-26.5998892,14.81458545
98.3,-70.85330559,-21.55801449,17.51176514
98.4,-65.28180724,-16.80636495,19.68010065
98.5,-59.25864373,-12.37199868,21.30848884
98.6,-52.82700574,-8.273057125,22.39611571
98.7,-46.03298679,-4.518845864,22.95226872
98.8,-38.92524779,-1.11007955,22.99597712
98.9,-31.55466316,1.960715643,22.55548776
99,-23.97395086,4.70865144,21.66758635
99.1,-16.23728936,7.155790528,20.37677683
99.2,-8.399924072,9.330337308,18.73433373
99.3,-0.517766383,11.26572243,16.7972444
99.4,7.35301187,12.99959888,14.62705982
99.5,15.1563855,14.57276897,12.28867415
99.6,22.83688159,16.02806239,9.849054285
99.7,30.33998075,17.40918665,7.375941368
99.8,37.61251089,18.75957127,4.936546785
99.9,44.60303084,20.12122736,2.596265057
100,51.26220075,21.53364371,0.417425752
100.1,57.54313681,23.03274003,-1.541894131
100.2,63.40174747,24.64989683,-3.228976948
100.3,68.79704883,26.41108006,-4.597471364
100.4,73.69145685,28.33607691,-5.608282193
100.5,78.05105429,30.43785757,-6.2303278
100.6,81.84583041,32.72207493,-6.441152001
100.7,85.04989163,35.1867125,-6.227379815
100.8,87.64164185,37.82188766,-5.585009093
100.9,89.60393088,40.60981508,-4.51953274
101,90.92417009,43.52493205,-3.045889163
101.1,91.59441449,46.53418483,-1.18824141
101.2,91.61141054,49.59747233,1.020411626
101.3,90.97660961,52.66824034,3.538785745
101.4,89.69614686,55.69421746,6.31801479
101.5,87.78078588,58.61828065,9.30249529
101.6,85.24582952,61.37943667,12.43085849
101.7,82.11099763,63.91390305,15.63705364
101.8,78.40027274,66.1562706,18.8515246
101.9,74.14171482,68.04072811,22.00246
102,69.36724662,69.50232811,25.01709609
102.1,64.11241119,70.47827229,27.8230504
102.2,58.41610354,70.90919422,30.34966352
102.3,52.32027837,70.74041696,32.52932639
102.4,45.86963622,69.92316334,34.29877036
102.5,39.11129028,68.41569731,35.6002979
102.6,32.09441659,66.18437556,36.38293268
102.7,24.86989002,63.20458995,36.60346894
102.8,17.48990902,59.461583,36.22740162
102.9,10.00761174,54.95112027,35.22972058
103,2.476686541,49.68000601,33.59555439
103.1,-5.049020225,43.66643068,31.32065154
103.2,-12.5158963,36.94014151,28.41168938
103.3,-19.8709525,29.54243027,24.88640421
103.4,-27.06220576,21.52593497,20.7735383
103.5,-34.03905336,12.95425571,16.11260303
103.6,-40.75263561,3.901387244,10.95346012
103.7,-47.15618446,-5.549025598,5.355725846
103.8,-53.20535522,-15.30460103,-0.611993856
103.9,-58.85853929,-25.26529027,-6.873026709
104,-64.07715548,-35.32459027,-13.34370263
104.1,-68.82591786,-45.3708825,-19.93455168
104.2,-73.0730783,-55.28887909,-26.55161359
104.3,-76.79064194,-64.96115559,-33.09783897
104.4,-79.95455415,-74.2697481,-39.47456077
104.5,-82.54485767,-83.0977913,-45.58301326
104.6,-84.54581896,-91.33117298,-51.32587489
104.7,-85.94602288,-98.86018008,-56.6088108
104.8,-86.73843514,-105.5811114,-61.34199057
104.9,-86.92043237,-111.3978318,-65.44155708
105,-86.49379944,-116.2232448,-68.83102287
105.1,-85.46469449,-119.9806588,-71.44257136
105.2,-83.84358195,-122.6050267,-73.21824174
105.3,-81.6451342,-124.044039,-74.11097773
105.4,-78.88810281,-124.2590507,-74.08552282
105.5,-75.59516042,-123.2258291,-73.11914645
105.6,-71.79271467,-120.9351071,-71.20218843
105.7,-67.5106956,-117.3929335,-68.33841144
105.8,-62.7823183,-112.6208122,-64.54515447
105.9,-57.64382273,-106.6556272,-59.8532831
106,-52.13419272,-99.54935135,-54.30693556
106.1,-46.29485638,-91.36854191,-47.96306672
106.2,-40.16937026,-82.1936289,-40.89079525
106.3,-33.80308962,-72.1180039,-33.17056236
106.4,-27.24282751,-61.24692174,-24.89311318
106.5,-20.53650503,-49.69622931,-16.15831514
106.6,-13.73279566,-37.5909389,-7.073829685
106.7,-6.880766137,-25.06366533,2.24634356
106.8,-0.029516669,-12.25294889,11.68342916
106.9,6.772176818,0.698512793,21.11552211
107,13.47621583,13.64569881,30.4192937
107.1,20.03552522,26.44313912,39.471732
107.2,26.40438927,38.94680222,48.15189097
107.3,32.5387757,51.01596923,56.34262231
107.4,38.39664503,62.51506789,63.93226406
107.5,43.93824327,73.31543998,70.81626064
107.6,49.12637582,83.29701701,76.89868992
107.7,53.92666063,92.34988002,82.09367412
107.8,58.30775892,100.3756813,86.32665333
107.9,62.24158189,107.2889075,89.53550192
108,65.70347205,113.0179664,91.67147099
108.1,68.67235794,117.5060813,92.69994212
108.2,71.13088141,120.7119812,92.60098075
108.3,73.06549648,122.6103765,91.36968032
108.4,74.46653953,123.1922139,89.01629158
108.5,75.32827023,122.4647077,85.56613461
108.6,75.64888328,120.4511467,81.05929428
108.7,75.43049107,117.190481,75.55010323
108.8,74.67907748,112.7366942,69.10641965
108.9,73.40442354,107.1579724,61.80871005
109,71.6200056,100.5356806,53.74895037
109.1,69.34286701,92.96316364,45.02936131
109.2,66.59346443,84.54438918,35.76099642
109.3,63.3954902,75.39245253,26.06220343
109.4,59.77567211,65.62796663,16.05698162
109.5,55.76355245,55.37736024,5.873259155
109.6,51.39124796,44.77110988,-4.358884334
109.7,46.69319271,33.94193147,-14.50902365
109.8,41.70586596,23.02295824,-24.44819612
109.9,36.46750713,12.14593143,-34.05068518
110,31.01782013,1.439430103,-43.19575351
110.1,25.39766936,-8.972834358,-51.76930023
110.2,19.64876962,-18.97363468,-59.66541815
110.3,13.81337251,-28.45373207,-66.78782837
110.4,7.933951465,-37.31324727,-73.05117158
110.5,2.052887927,-45.46287949,-78.38213739
110.6,-3.787838969,-52.82495635,-82.72041585
110.7,-9.546957024,-59.33430099,-86.01945755
110.8,-15.18419756,-64.93890531,-88.24703204
110.9,-20.66058184,-69.6004011,-89.38557707
111,-25.93869533,-73.29432412,-89.43233451
111.1,-30.98294762,-76.01016939,-88.39927179
111.2,-35.75981651,-77.75123907,-86.31279132
111.3,-40.23807419,-78.53428741,-83.21323305
111.4,-44.38899429,-78.38897043,-79.15417883
111.5,-48.18653809,-77.35711097,-74.20156988
111.6,-51.60751904,-75.49179225,-68.43265181
111.7,-54.63174412,-72.8562959,-61.93476368
111.8,-57.24213152,-69.52290258,-54.8039903
111.9,-59.42480379,-65.57157524,-47.1436988
112,-61.16915602,-61.08854678,-39.06298202
112.1,-62.46789877,-56.16483519,-30.67503276
112.2,-63.31707558,-50.89471024,-22.09547372
112.3,-63.71605537,-45.37413616,-13.44066862
112.4,-63.66749972,-39.6992151,-4.826039891
112.5,-63.17730583,-33.96465602,3.635581556
112.6,-62.25452556,-28.26229268,11.83555003
112.7,-60.91126163,-22.67967388,19.67091843
112.8,-59.16254178,-17.29874754,27.04584916
112.9,-57.02617228,-12.1946585,33.87290193
113,-54.52257196,-7.434677975,40.07418006
113.1,-51.67458826,-3.077280657,45.58231895
113.2,-48.50729702,0.828617628,50.3413032
113.3,-45.04778748,4.244250872,54.30710135
113.4,-41.32493457,7.141414846,57.44811031
113.5,-37.36916015,9.502695214,59.74540443
113.6,-33.21218529,11.32151004,61.19278739
113.7,-28.88677558,12.60196789,61.79664787
113.8,-24.42648145,13.35854579,61.57562351
113.9,-19.86537569,13.61559401,60.56008011
114,-15.23779011,13.40667783,58.79141622
114.1,-10.57805349,12.77376837,56.32120583
114.2,-5.920232801,11.76629781,53.21019433
114.3,-1.29787968,10.44009557,49.52716503
114.4,3.256215889,8.856224647,45.34769564
114.5,7.710262872,7.079738317,40.75282551
114.6,12.03369571,5.178378845,35.82765587
114.7,16.19738837,3.221240679,30.65990601
114.8,20.17385451,1.277421031,25.33844909
114.9,23.93743212,-0.585319119,19.95185124
115,27.46445168,-2.301860826,14.58693759
115.1,30.7333864,-3.810977672,9.327407954
115.2,33.7249838,-5.056509821,4.25252431
115.3,36.42237767,-5.988441842,-0.564109434
115.4,38.81117989,-6.563866189,-5.055656274
115.5,40.87955154,-6.747816161,-9.163026553
115.6,42.618253,-6.513954379,-12.8357151
115.7,44.020673,-5.845105263,-16.03248267
115.8,45.08283658,-4.733622599,-18.72187178
115.9,45.80339217,-3.181586081,-20.88255001
116,46.18357822,-1.200823512,-22.50347653
116.1,46.22716989,1.187241658,-23.58389047
116.2,45.94040651,3.951914957,-24.13312313
116.3,45.33190065,7.053722222,-24.17023821
116.4,44.41252975,10.44505947,-23.72350774
116.5,43.19531152,14.07099045,-22.82973367
116.6,41.69526425,17.87017859,-21.53342769
116.7,39.92925345,21.77593777,-19.88586405
116.8,37.91582617,25.71738435,-17.9440226
116.9,35.67503469,29.62067127,-15.76944027
117,33.22825095,33.41028348,-13.42699153
117.1,30.59797357,37.01037304,-10.98361881
117.2,27.80762906,40.34611151,-8.507035008
117.3,24.88136895,43.34503683,-6.064420385
117.4,21.84386454,45.93837194,-3.721136461
117.5,18.72010107,48.06229302,-1.539478839
117.6,15.53517299,49.65912554,0.422509512
117.7,12.31408193,50.6784479,2.112144208
117.8,9.081539139,51.07808367,3.483105645
117.9,5.861773874,50.82496512,4.496328155
118,2.678349251,49.89585306,5.120756833
118.1,-0.446012996,48.27790005,5.33395895
118.2,-3.489597531,45.96904664,5.12257935
118.3,-6.431849014,42.97824309,4.482631817
118.4,-9.253513135,39.32549167,3.419621164
118.5,-11.93676413,35.04170769,1.948493653
118.6,-14.46531794,30.16840025,0.093416219
118.7,-16.82453018,24.75717669,-2.112612137
118.8,-19.00147856,18.8690776,-4.628310606
118.9,-20.98502909,12.57375202,-7.404819548
119,-22.76588588,5.948485061,-10.3865447
119.1,-24.33662441,-0.922907388,-13.51212871
119.2,-25.69170822,-7.951299834,-16.71553386
119.3,-26.82748918,-15.04357553,-19.92721811
119.4,-27.74219159,-22.10402141,-23.07538463
119.5,-28.4358806,-29.03577776,-26.08728413
119.6,-28.91041542,-35.74231993,-28.89054784
119.7,-29.169388,-42.12894846,-31.41452877
119.8,-29.21804803,-48.10426412,-33.59162851
