时间,457+508,505+457+508,505+457
13.6,4.581283657,49.35629421,0.225117462
13.7,4.740283651,46.49937103,-1.953447207
13.8,4.947355114,43.02858321,-4.445103376
13.9,5.198998219,38.99842087,-7.201381516
14,5.490801793,34.47198927,-10.16701405
14.1,5.817493001,29.51999407,-13.28090193
14.2,6.172997245,24.2196031,-16.47719364
14.3,6.55050772,18.65320343,-19.68645843
14.4,6.942563936,12.90707333,-22.83693453
14.5,7.341138438,7.069990851,-25.85583112
14.6,7.737730878,1.231801343,-28.67066233
14.7,8.123468498,-4.51803295,-31.21059062
14.8,8.489212046,-10.0918777,-33.40775688
14.9,8.825666041,-15.40534236,-35.19857437
15,9.123492312,-20.37864408,-36.52496445
15.1,9.373425636,-24.93789755,-37.33551266
15.2,9.566390331,-29.01630976,-37.586525
15.3,9.693616578,-32.55526018,-37.24296573
15.4,9.746755309,-35.50524878,-36.27925999
15.5,9.71799044,-37.82669608,-34.67994647
15.6,9.600147278,-39.49058237,-32.44016791
15.7,9.386795952,-40.47891515,-29.56598962
15.8,9.072348759,-40.78501706,-26.07453913
15.9,8.652150334,-40.41362926,-21.99396286
16,8.122559672,-39.38082822,-17.36319859
16.1,7.481023031,-37.71375684,-12.2315657
16.2,6.726136877,-35.45017391,-6.658177936
16.3,5.85770008,-32.63782871,-0.711186345
16.4,4.876754696,-29.3336706,5.533136885
16.5,3.78561475,-25.60290586,11.9914607
16.6,2.587882545,-21.51791675,18.57458783
16.7,1.288452155,-17.15705991,25.18876008
16.8,-0.106500149,-12.60336331,31.73705632
16.9,-1.589538643,-7.943142332,38.12086202
17,-3.152004076,-3.26455753,44.24138735
17.1,-4.784062621,1.343863126,50.00121048
17.2,-6.474767614,5.794713447,55.30582156
17.3,-8.212133691,10.0031857,60.06514325
17.4,-9.983222818,13.88851077,64.19500336
17.5,-11.7742416,17.37533841,67.61853609
17.6,-13.57064912,20.39503491,70.26748905
17.7,-15.35727449,22.88687697,72.08341485
17.8,-17.11844313,24.79912206,73.01872736
17.9,-18.83811077,26.08993722,73.037605
18,-20.50000406,26.72817099,72.1167256
18.1,-22.0877665,26.69395502,70.24581974
18.2,-23.58510851,25.97912497,67.42803253
18.3,-24.97596037,24.58745299,63.6800864
18.4,-26.24462643,22.53468703,59.03224061
18.5,-27.37593945,19.84839544,53.5280464
18.6,-28.35541351,16.56761816,47.22389971
18.7,-29.1693941,12.74232914,40.18839661
18.8,-29.80520393,8.432717485,32.50149969
18.9,-30.25128311,3.708297666,24.25352643
19,-30.4973223,-1.353137791,15.54397364
19.1,-30.53438755,-6.6667076,6.48019445
19.2,-30.35503538,-12.14175481,-2.824053308
19.3,-29.95341722,-17.68326364,-12.25016631
19.4,-29.32537176,-23.19335826,-21.67633986
19.5,-28.46850434,-28.57286021,-30.97927281
19.6,-27.38225249,-33.72288035,-40.03590816
19.7,-26.06793668,-38.5464203,-48.72518347
19.8,-24.52879563,-42.94995837,-56.92976506
19.9,-22.77000566,-46.8449948,-64.53773999
20,-20.79868359,-50.1495319,-71.44424054
20.1,-18.6238728,-52.78946546,-77.55297651
20.2,-16.25651255,-54.6998651,-82.77765235
20.3,-13.70939021,-55.82612291,-87.0432474
20.4,-10.99707681,-56.12495159,-90.28713985
20.5,-8.135846095,-55.56521564,-92.46005709
20.6,-5.143577423,-54.12858168,-93.5268378
20.7,-2.039643268,-51.80997668,-93.46699379
20.8,1.15521811,-48.61784569,-92.27506283
20.9,4.419043901,-44.57420412,-89.96074655
21,7.728800918,-39.71448222,-86.54883078
21.1,11.0605516,-34.08716311,-82.07888918
21.2,14.38963059,-27.75321852,-76.60477386
21.3,17.69083066,-20.78534983,-70.19390024
21.4,20.93859638,-13.26704476,-62.92633631
21.5,24.10722415,-5.291463139,-54.89370939
21.6,27.17106705,3.039832338,-46.19794638
21.7,30.10474266,11.6182818,-36.94986569
21.8,32.88334244,20.32984988,-27.26764165
21.9,35.48264061,29.05664085,-17.27516382
22,37.87930118,37.67858339,-7.100315196
22.1,40.05108098,46.07515983,3.12680518
22.2,41.9770273,54.12715415,13.27568934
22.3,43.6376682,61.71839249,23.21723055
22.4,45.01519389,68.73745011,32.82551002
22.5,46.09362763,75.0792991,41.97953399
22.6,46.85898451,80.64687197,50.56489576
22.7,47.29941669,85.35251755,58.47533856
22.8,47.40534369,89.11932713,65.61419632
22.9,47.16956656,91.88231065,71.89569176
23,46.58736468,93.58940524,77.24607305
23.1,45.65657424,94.20230041,81.60457274
23.2,44.37764746,93.69706758,84.9241757
23.3,42.75369194,92.06458395,87.17218538
23.4,40.79048945,89.31074417,88.33058078
23.5,38.49649377,85.45645645,88.39615996
23.6,35.88280739,80.5374227,87.3804689
23.7,32.96313692,74.60370591,85.30951769
23.8,29.75372734,67.71909081,82.22328953
23.9,26.27327539,59.9602473,78.17505086
24,22.54282242,51.41570874,73.23047391
24.1,18.58562741,42.18468028,67.46658592
24.2,14.42702092,32.37569468,60.97056169
24.3,10.09424086,22.1051355,53.83837844
24.4,5.616251138,11.49564951,46.17335391
24.5,1.023544544,0.674471579,38.08459043
24.6,-3.652068914,-10.22831314,29.68534888
24.7,-8.377686607,-21.08154415,21.09137736
24.8,-13.11954925,-31.75477175,12.41922007
24.9,-17.84328651,-42.12002798,3.784532042
25,-22.51417041,-52.05355671,-4.69957512
25.1,-27.09737465,-61.43747754,-12.92413151
25.2,-31.55823794,-70.16135939,-20.78582771
25.3,-35.86252917,-78.12368124,-28.18843162
25.4,-39.9767126,-85.23315897,-35.04408276
25.5,-43.86821082,-91.4099195,-41.27444539
25.6,-47.50566343,-96.58650589,-46.81170416
25.7,-50.85917954,-100.7086995,-51.59938854
25.8,-53.90058186,-103.736148,-55.59301495
25.9,-56.60364056,-105.6427919,-58.76053847
26,-58.94429487,-106.4170835,-61.08260908
26.1,-60.90086064,-106.0619976,-62.55263035
26.2,-62.45422216,-104.5948344,-63.17662163
26.3,-63.58800643,-102.04682,-62.9728879
26.4,-64.28873859,-98.4625112,-61.97150435
26.5,-64.5459769,-93.89901514,-60.21362567
26.6,-64.35242619,-88.42503788,-57.75063266
26.7,-63.70402865,-82.11977641,-54.64313132
26.8,-62.60003091,-75.07167282,-50.95982166
26.9,-61.04302693,-67.3770504,-46.77625557
27,-59.03897584,-59.13865323,-42.17350456
27.1,-56.59719456,-50.4641123,-37.23675955
27.2,-53.73032492,-41.46436198,-32.05388571
27.3,-50.45427531,-32.25203131,-26.71395608
27.4,-46.78813704,-22.93983479,-21.30578764
27.5,-42.75407583,-13.63898713,-15.9165034
27.6,-38.37719903,-4.457665768,-10.63014359
27.7,-33.68539932,4.500455721,-5.526347844
27.8,-28.7091759,13.13758194,-0.679129149
27.9,-23.48143427,21.36305745,3.844241288
28,-18.03726602,29.09449818,7.984221184
28.1,-12.41370996,36.25877635,11.68984131
28.2,-6.649496429,42.79284571,14.91939404
28.3,-0.784776422,48.64439625,17.64095649
28.4,5.13916249,53.77233035,19.83274092
28.5,11.0801914,58.14705533,21.48326823
28.6,16.99564434,61.75059041,22.59136321
28.7,22.84262942,64.57648876,23.16597296
28.8,28.57834436,66.62957864,23.22581312
28.9,34.16039435,67.92553033,22.79884915
29,39.54710956,68.49025818,21.92162257
29.1,44.69786009,68.35916994,20.63843478
29.2,49.57336587,67.57627775,19.00040318
29.3,54.1359992,66.19318723,17.0644065
29.4,58.35007745,64.26798314,14.89193793
29.5,62.18214379,61.8640315,12.54788622
29.6,65.60123366,59.04871912,10.09926586
29.7,68.57912476,55.89215276,7.613918525
29.8,71.09056873,52.46584008,5.159208043
29.9,73.11350248,48.84137517,2.800731448
30,74.62923747,45.08915078,0.601068262
30.1,75.62262536,41.27711916,-1.381410539
30.2,76.08219848,37.46962196,-3.093653453
30.3,76.0002841,33.72630887,-4.488940207
30.4,75.37309116,30.10116264,-5.527776991
30.5,74.2007688,26.64164637,-6.178659765
30.6,72.48743601,23.38798692,-6.418692478
30.7,70.24118179,20.37260554,-6.23404947
30.8,67.4740359,17.61970477,-5.620273955
