Éý³Á,ºá,×Ý
-1.56592,2.87642,1.16726
-1.66725,2.99068,1.12158
-1.74287,3.04207,1.05792
-1.79087,3.02359,0.97643
-1.8081,2.93389,0.87903
-1.79388,2.77816,0.76937
-1.75053,2.56473,0.65
-1.68106,2.29924,0.52204
-1.58684,1.98372,0.3858
-1.46636,1.62042,0.2424
-1.3184,1.2152,0.09438
-1.14541,0.77934,-0.05602
-0.95383,0.32634,-0.20897
-0.75021,-0.13207,-0.36606
-0.53756,-0.58935,-0.52745
-0.3137,-1.03829,-0.69218
-0.07535,-1.47145,-0.85579
0.17736,-1.8778,-1.01288
0.43787,-2.24628,-1.15946
0.6951,-2.56766,-1.29507
0.9396,-2.83675,-1.42016
1.16757,-3.05108,-1.53332
1.37966,-3.20749,-1.63057
1.57795,-3.30102,-1.70506
1.76051,-3.32761,-1.75026
1.92023,-3.28637,-1.76108
2.04741,-3.17842,-1.73498
2.13397,-3.00714,-1.671
2.17541,-2.77523,-1.56802
2.17117,-2.48517,-1.42589
2.12208,-2.14081,-1.24461
2.02895,-1.75001,-1.02482
1.8922,-1.32248,-0.76905
1.71402,-0.86858,-0.48097
1.49768,-0.39823,-0.16712
1.24825,0.08136,0.16552
0.97133,0.5632,0.50915
0.67212,1.03671,0.85515
0.35651,1.48926,1.19448
0.03173,1.91025,1.51948
-0.29387,2.29181,1.82188
-0.6125,2.62964,2.09244
-0.91814,2.92104,2.32306
-1.2075,3.15949,2.50514
-1.47771,3.33595,2.63167
-1.72345,3.44165,2.69788
-1.93596,3.4714,2.70059
-2.10539,3.4261,2.64058
-2.22478,3.31296,2.52026
-2.29397,3.13785,2.3428
-2.32009,2.90504,2.1125
-2.31243,2.61566,1.83206
-2.27756,2.26837,1.50483
-2.21466,1.86563,1.13559
-2.11811,1.41466,0.73228
-1.9815,0.92628,0.30749
-1.80331,0.41356,-0.1251
-1.58875,-0.10908,-0.55482
-1.34643,-0.63127,-0.97452
-1.08511,-1.14218,-1.37894
-0.80997,-1.63214,-1.76331
-0.52348,-2.09122,-2.11982
-0.22755,-2.51019,-2.43702
0.07316,-2.8798,-2.70297
0.37141,-3.19284,-2.90845
0.65817,-3.44143,-3.04755
0.92456,-3.62105,-3.11567
1.16415,-3.72832,-3.11026
1.37132,-3.76145,-3.02797
1.54185,-3.71976,-2.86882
1.67135,-3.60302,-2.63597
1.75723,-3.41235,-2.33802
1.79921,-3.14844,-1.98533
1.79948,-2.81534,-1.58839
1.76284,-2.41846,-1.15835
1.69419,-1.96795,-0.70666
1.59833,-1.47393,-0.24701
1.47894,-0.94949,0.20468
1.34001,-0.40567,0.63536
1.18616,0.14491,1.0358
1.0222,0.69234,1.40138
0.85222,1.22625,1.72941
0.67841,1.73784,2.01541
0.50091,2.21743,2.25192
0.31945,2.65803,2.43129
0.13497,3.0495,2.55018
-0.04882,3.38238,2.61002
-0.22851,3.64719,2.61735
-0.40163,3.83763,2.57788
-0.56847,3.95077,2.49511
-0.7301,3.98773,2.37049
-0.88614,3.94806,2.20624
-1.03259,3.83042,2.00841
-1.16346,3.63367,1.78479
-1.27519,3.35714,1.54256
-1.36886,3.00578,1.28567
-1.44886,2.58975,1.01367
-1.51888,2.11962,0.72687
-1.57699,1.60577,0.42845
-1.61542,1.05587,0.12526
-1.62622,0.47891,-0.17396
-1.60571,-0.11246,-0.46394
-1.55716,-0.70293,-0.74215
-1.4866,-1.27493,-1.00858
-1.39689,-1.81492,-1.26148
-1.28585,-2.31434,-1.49608
-1.14897,-2.76734,-1.70633
-0.98487,-3.16805,-1.88681
-0.79834,-3.50881,-2.03515
-0.59773,-3.78016,-2.15086
-0.39001,-3.97488,-2.2333
-0.1775,-4.0896,-2.27882
0.03925,-4.12498,-2.28391
0.25736,-4.08081,-2.24476
0.46823,-3.9573,-2.16216
0.66214,-3.75402,-2.04024
0.83349,-3.47411,-1.88204
0.98323,-3.12478,-1.68803
1.11505,-2.71483,-1.45645
1.2276,-2.25282,-1.18668
1.31197,-1.74618,-0.88269
1.35546,-1.20281,-0.5553
1.35081,-0.63239,-0.21725
1.30185,-0.04733,0.12144
1.22117,0.53931,0.45615
1.11998,1.11829,0.78512
1.00087,1.67924,1.10535
0.85797,2.21202,1.40966
0.68511,2.70288,1.68643
0.48409,3.13875,1.92422
0.26639,3.50904,2.116
0.04636,3.80946,2.26004
-0.16629,4.03956,2.35665
-0.36963,4.19687,2.40455
-0.56409,4.2735,2.39914
-0.74679,4.25998,2.33611
-0.90938,4.15135,2.21468
-1.04217,3.95144,2.03976
-1.14008,3.67356,1.82013
-1.2049,3.33054,1.56516
-1.24086,2.92916,1.28138
-1.25044,2.46782,0.97373
-1.2317,1.94518,0.64634
-1.18151,1.36958,0.30654
-1.10029,0.75815,-0.03613
-0.9928,0.13455,-0.37259
-0.86576,-0.48297,-0.69361
-0.7245,-1.08584,-0.99044
-0.57243,-1.66955,-1.25591
-0.41476,-2.22938,-1.48239
-0.26051,-2.75292,-1.66383
-0.12143,-3.22237,-1.79657
-0.00725,-3.62082,-1.87695
,-3.93747,-1.90273
,-4.16735,-1.87058
,-4.30911,-1.78002
,-4.36162,
,-4.32353,
,-4.19552,
,-3.97984,
,-3.68167,
,-3.30575,
,-2.85771,
,-2.3468,
,-1.78517,
,-1.18884,
,-0.57132,
,0.05544,
,0.68378,
,1.3022,
,1.89763,
,2.45317,
,2.95507,
,3.39523,
,3.77047,
,4.07765,
,4.30978,
,4.4556,
,4.50338,
,4.44951,
,4.29671,
,4.05511,
,3.73599,
,3.34587,
,2.89039,
,2.37474,
,1.80545,
,1.19537,
,0.5578,
,-0.09082,
,-0.73674,
,-1.36553,
,-1.96502,
,-2.52259,
,-3.02652,
,-3.46577,
,-3.83042,
,-4.11439,
,-4.31362,
,-4.42585,
,-4.45019,
,-4.38393,
,-4.22482,
,-3.97421,
,-3.63885,
,-3.2298,
,-2.75923,
,-2.23591,
,-1.66662,
,-1.05947,
,-0.42663,
,0.2132,
,0.84379,
,1.45162,
,2.02789,
,2.56698,
,3.0601,
,3.49416,
,3.85386,
,4.12949,
,4.31677,
,4.41774,
,4.43374,
,4.36275,
,4.20115,
,3.94896,
,3.61113,
,3.19712,
,2.71979,
,2.18881,
,1.61231,
,0.99997,
,0.36307,
,-0.28284,
,-0.92267,
,-1.54289,
,-2.13247,
,-2.6799,
,-3.17414,
,-3.60234,
,-3.9546,
,-4.22437,
,-4.40782,
,-4.5027,
,-4.50743,
,-4.41841,
,-4.23609,
,-3.96361,
,-3.60775,
,-3.17909,
,-2.68733,
,-2.14306,
,-1.55461,
,-0.93372,
,-0.29298,
,0.35226,
,0.9878,
,1.60059,
,2.1807,
,2.71888,
,3.20343,
,3.62172,
,3.96113,
,4.2131,
,4.37447,
,4.44771,
,4.43577,
,4.33796,
,4.15247,
,3.87684,
,3.51602,
,3.08083,
,2.58682,
,2.0484,
,1.47461,
,0.87196,
,0.24904,
,-0.38088,
,-1.00133,
,-1.59608,
,-2.15298,
,-2.66277,
,-3.11757,
,-3.50791,
,-3.82321,
,-4.05714,
,-4.20566,
,-4.26741,
,-4.24195,
,-4.12566,
,-3.91674,
,-3.61947,
,-3.24423,
,-2.8052,
,-2.31547,
,-1.78201,
,-1.21205,
,-0.61391,
,-0.00158,
,0.6076,
,1.1983,
,1.75925,
,2.28076,
,2.75292,
,3.16444,
,3.50431,
,3.76709,
,3.95212,
,4.06075,
,4.09253,
,4.04227,
,3.90817,
,3.69136,
,3.39951,
,3.04274,
,2.62693,
,2.15681,
,1.63823,
,1.08381,
,0.5125,
,-0.05634,
,-0.61098,
,-1.14579,
,-1.65738,
,-2.13675,
,-2.57036,
,-2.9429,
,-3.2458,
,-3.47726,
,-3.63727,
,-3.72247,
,-3.72427,
,-3.63547,
,-3.45788,
,-3.20276,
,-2.88543,
,-2.51853,
,-2.10655,
,-1.65085,
,-1.15728,
,-0.63983,
,-0.11584,
,0.40116,
,0.90442,
,1.39032,
,1.85256,
,2.27806,
,2.64992,
,2.95598,
,3.19149,
,3.35872,
,3.46081,
,3.49754,
,3.46644,
,3.36277,
,3.18585,
,2.94065,
,2.63392,
,2.274,
,1.86923,
,1.42886,
,0.96324,
,0.47982,
,-0.01127,
,-0.50348,
,-0.98442,
,-1.44148,
,-1.85954,
,-2.22825,
,-2.54174,
,-2.79844,
,-2.99722,
,-3.13515,
,-3.20749,
,-3.2102,
,-3.14258,
,-3.00714,
,-2.80836,
,-2.55076,
,-2.23727,
,-1.87374,
,-1.46852,
,-1.03423,
,-0.58349,
,-0.12756,
,0.32476,
,0.76762,
,1.19289,
,1.59248,
,1.95578,
,2.27175,
,2.53228,
,2.73331,
,2.87326,
,2.95282,
,2.97153,
,2.92735,
,2.81692,
,2.64,
,2.40134,
,2.10993,
,1.77796,
,1.41421,
,1.02567,
,0.61752,
,0.19743,
,-0.22447,
,-0.63825,
,-1.0331,
,-1.40294,
,-1.74212,
,-2.04502,
,-2.3024,
,-2.50433,
,-2.64361,
,-2.71866,
,-2.73128,
,-2.68576,
,-2.58411,
,-2.425,
,-2.21,
,-1.94316,
,-1.63304,
,-1.29115,
,-0.92853,
,-0.55329,
,-0.17309,
,0.20554,
,0.57785,
,0.93552,
,1.27087,
,1.57535,
,1.84039,
,2.05945,
,2.22938,
,2.3495,
,2.42027,
,2.44123,
,2.41035,
,2.32539,
,2.18791,
,2.00355,
,1.77908,
,1.52103,
,1.23323,
,0.91771,
,0.57988,
,0.22717,
,-0.12914,
,-0.47801,
,-0.81044,
,-1.11739,
,-1.39347,
,-1.63214,
,-1.82912,
,-1.98327,
,-2.0946,
,-2.16199,
,-2.18092,
,-2.14734,
,-2.059,
,-1.91927,
,-1.73649,
,-1.52058,
,-1.27651,
,-1.00696,
,-0.71285,
,-0.40139,
,-0.08474,
,0.22357,
,0.51452,
,0.78452,
,1.03378,
,1.26118,
,1.46176,
,1.62741,
,1.75272,
,1.83723,
,1.88185,
,1.88794,
,1.85346,
,1.77548,
,1.65378,
,1.49286,
,1.3013,
,1.08742,
,0.85551,
,0.6085,
,0.34888,
,0.08226,
,-0.1821,
,-0.43722,
,-0.67724,
,-0.89878,
,-1.10004,
,-1.27696,
,-1.4248,
,-1.53726,
,-1.61141,
,-1.64769,
,-1.64837,
,-1.61637,
,-1.55146,
,-1.45162,
,-1.31437,
,-1.14151,
,-0.93935,
,-0.72029,
,-0.49492,
,-0.27045,
,-0.04823,
,0.17354,
,0.3962,
,0.61459,
,0.81968,
,1.00223,
,1.15638,
,1.28191,
,1.37928,
,1.44711,
,1.48047,
,1.47461,
,1.42841,
,1.34524,
,1.23143,
,1.09148,
,0.92538,
,0.73471,
,0.52219,
,0.29614,
,0.06626,
,-0.16227,
,-0.38764,
,-0.60986,
,-0.82509,
,-1.02454,
,-1.19672,
,-1.33375,
,-1.43449,
,-1.50143,
,-1.53794,
,-1.54289,
,-1.51247,
,-1.44351,
,-1.33826,
,-1.20078,
,-1.03536,
,-0.84559,
,-0.63307,
,-0.40229,
,-0.16114,
,0.07978,
,0.31349,
,0.53436,
,0.74125,
,0.93372,
,1.10815,
,1.25825,
,1.37815,
,1.46334,
,1.51089,
,1.52058,
,1.49174,
,1.42683,
,1.32902,
,1.20236,
,1.04933,
,0.87174,
,0.67116,
,0.45052,
,0.21839,
,-0.016,
,-0.24611,
,-0.46855,
,-0.68288,
,-0.88864,
,-1.08043,
,-1.24856,
,-1.38333,
,-1.48114,
,-1.54244,
,-1.57287,
,-1.5749,
,-1.5474,
,-1.48768,
,-1.3928,
,-1.26366,
,-1.10522,
,-0.92087,
,-0.71443,
,-0.48793,
,-0.24701,
,0.00023,
,0.24498,
,0.47914,
,0.7,
,0.90667,
,1.09914,
,1.27538,
,1.42796,
,1.54853,
,1.63102,
,1.67271,
,1.67564,
,1.64161,
,1.57219,
,1.46537,
,1.3209,
,1.14016,
,0.92786,
,0.69347,
,0.44488,
,0.18819,
,-0.07189,
,-0.33468,
,-0.59476,
,-0.84695,
,-1.08291,
,-1.29521,
,-1.47799,
,-1.62854,
,-1.74415,
,-1.82213,
,-1.86112,
,-1.86067,
,-1.82055,
,-1.74212,
,-1.62538,
,-1.47258,
,-1.28507,
,-1.06826,
,-0.82847,
,-0.57154,
,-0.3011,
,-0.01938,
,0.26977,
,0.5614,
,0.84312,
,1.10319,
,1.3342,
,1.5332,
,1.70043,
,1.83565,
,1.93346,
,1.98665,
,1.98823,
,1.93797,
,1.83971,
,1.70088,
,1.52464,
,1.31144,
,1.0606,
,0.77528,
,0.46359,
,0.13883,
,-0.18683,
