time,high
461.5,-0.707
462,-1.062
462.5,-1.191
463,-1.07
463.5,-0.711
464,-0.129
464.5,0.552
465,1.149
465.5,1.51
466,1.557
466.5,1.307
467,0.844
467.5,0.32
468,-0.143
468.5,-0.444
469,-0.577
469.5,-0.548
470,-0.372
470.5,-0.088
471,0.23
471.5,0.444
472,0.464
472.5,0.331
473,0.113
473.5,-0.128
474,-0.341
474.5,-0.463
475,-0.459
475.5,-0.246
476,0.143
476.5,0.63
477,1.122
477.5,1.523
478,1.797
478.5,1.843
479,1.627
479.5,1.24
480,0.779
480.5,0.348
481,0.054
481.5,-0.034
482,0.036
482.5,0.213
483,0.375
483.5,0.452
484,0.401
484.5,0.227
485,-0.031
485.5,-0.361
486,-0.668
486.5,-0.874
487,-0.933
487.5,-0.837
488,-0.618
488.5,-0.37
489,-0.182
489.5,-0.071
490,-0.092
490.5,-0.27
491,-0.542
491.5,-0.795
492,-0.962
492.5,-1.014
493,-0.943
493.5,-0.768
494,-0.465
494.5,-0.16
495,0.059
495.5,0.151
496,0.161
496.5,0.108
497,0.006
497.5,-0.135
498,-0.307
498.5,-0.49
499,-0.672
499.5,-0.799
500,-0.832
500.5,-0.768
501,-0.629
501.5,-0.506
502,-0.37
502.5,-0.227
503,-0.106
503.5,-0.06
504,-0.144
504.5,-0.418
505,-0.785
505.5,-1.116
506,-1.316
506.5,-1.337
507,-1.209
507.5,-0.989
508,-0.699
508.5,-0.382
509,-0.077
509.5,0.158
510,0.309
510.5,0.359
511,0.299
511.5,0.176
512,0.094
512.5,0.094
513,0.186
513.5,0.332
514,0.495
514.5,0.624
515,0.697
515.5,0.682
516,0.594
516.5,0.46
517,0.33
517.5,0.213
518,0.061
518.5,-0.086
519,-0.186
519.5,-0.215
520,-0.22
520.5,-0.241
521,-0.286
521.5,-0.369
522,-0.459
522.5,-0.535
523,-0.591
523.5,-0.636
524,-0.658
524.5,-0.667
525,-0.695
525.5,-0.672
526,-0.601
526.5,-0.468
527,-0.309
527.5,-0.173
528,-0.078
528.5,-0.016
529,0.03
529.5,0.058
530,0.024
530.5,-0.079
531,-0.229
531.5,-0.428
532,-0.581
532.5,-0.607
533,-0.506
533.5,-0.218
534,0.184
534.5,0.617
535,1.054
535.5,1.425
536,1.603
536.5,1.539
537,1.253
537.5,0.858
538,0.477
538.5,0.182
539,0.027
539.5,-0.069
540,-0.116
540.5,-0.103
541,-0.106
541.5,-0.161
542,-0.26
542.5,-0.374
543,-0.477
543.5,-0.5
544,-0.427
544.5,-0.275
545,-0.074
545.5,0.127
546,0.282
546.5,0.359
547,0.436
547.5,0.51
548,0.562
548.5,0.471
549,0.235
549.5,-0.102
550,-0.473
550.5,-0.806
551,-0.984
551.5,-0.983
552,-0.819
552.5,-0.538
553,-0.207
553.5,0.108
554,0.354
554.5,0.457
555,0.446
555.5,0.287
556,0.08
556.5,-0.104
557,-0.189
557.5,-0.154
558,-0.015
558.5,0.127
559,0.182
559.5,0.127
560,-0.019
560.5,-0.241
561,-0.463
561.5,-0.637
562,-0.717
562.5,-0.728
563,-0.623
563.5,-0.403
564,-0.097
564.5,0.21
565,0.453
565.5,0.595
566,0.623
566.5,0.647
567,0.712
567.5,0.829
568,1.011
568.5,1.257
569,1.523
569.5,1.746
570,1.859
570.5,1.837
571,1.686
571.5,1.381
572,0.969
572.5,0.624
573,0.469
573.5,0.532
574,0.745
574.5,1.042
575,1.333
575.5,1.472
576,1.375
576.5,1.06
577,0.586
577.5,0.052
578,-0.508
578.5,-0.997
579,-1.304
579.5,-1.367
580,-1.227
580.5,-1.002
581,-0.812
581.5,-0.828
582,-1.059
582.5,-1.448
583,-1.85
583.5,-2.179
584,-2.344
584.5,-2.31
585,-2.088
585.5,-1.654
586,-1.094
