high
0.552
0.881
1.036
1.006
0.814
0.507
0.155
-0.167
-0.379
-0.482
-0.576
-0.682
-0.76
-0.823
-0.908
-1.056
-1.173
-1.166
-1.016
-0.783
-0.529
-0.277
-0.096
-0.034
-0.092
-0.19
-0.273
-0.233
-0.018
0.284
0.627
0.951
1.16
1.172
0.997
0.715
0.364
-0.001
-0.305
-0.481
-0.515
-0.485
-0.515
-0.662
-0.861
-1.061
-1.271
-1.477
-1.595
-1.586
-1.551
-1.59
-1.706
-1.84
-2.006
-2.17
-2.232
-2.182
-2.064
-1.97
-1.939
-1.913
-1.867
-1.851
-1.811
-1.678
-1.404
-0.927
-0.334
0.319
0.926
1.364
1.57
1.554
1.403
1.157
0.807
0.408
0.116
-0.061
-0.13
-0.07
0.034
0.112
0.137
0.103
0.057
0.03
0.018
0.035
0.037
0.053
0.098
0.112
0.08
0.028
-0.056
-0.155
-0.239
-0.29
-0.283
-0.233
-0.165
-0.102
-0.072
-0.048
-0.022
-0.01
-0.027
-0.085
-0.172
-0.268
-0.394
-0.544
-0.684
-0.803
-0.904
-0.92
-0.827
-0.624
-0.322
0.07
0.496
0.958
1.408
1.791
2.043
2.161
2.166
2.121
2.065
2.083
2.167
2.287
2.362
2.333
2.152
1.856
1.5
1.174
0.85
0.575
0.402
0.344
0.36
0.422
0.469
0.452
0.35
0.269
0.306
0.469
0.716
0.921
1.075
1.185
1.233
1.268
1.301
1.313
1.304
1.257
1.176
1.069
0.897
0.654
0.383
0.129
0.026
0.041
0.161
0.365
0.551
0.697
0.793
0.878
0.952
0.991
1.016
1.033
1.041
1.076
1.144
1.082
0.848
0.475
0.036
-0.435
-0.884
-1.281
-1.647
-1.934
-2.152
-2.291
-2.329
-2.276
-2.189
-2.101
-1.958
-1.792
-1.596
-1.417
-1.238
-1.054
-0.76
-0.356
0.079
0.529
0.922
1.236
1.443
1.51
1.447
1.281
1.081
0.906
0.84
0.889
0.983
0.98
0.836
0.57
0.245
-0.063
-0.338
-0.493
-0.482
-0.329
-0.087
0.246
0.614
0.881
0.989
0.929
0.78
0.617
0.419
0.197
-0.005
-0.149
-0.317
-0.569
-0.876
-1.167
-1.409
-1.54
-1.49
-1.32
-1.045
-0.769
-0.529
-0.345
-0.193
-0.106
-0.106
-0.121
-0.077
-0.022
-0.031
-0.148
-0.353
-0.601
-0.769
-0.788
-0.645
-0.411
-0.111
0.166
0.373
0.479
0.396
0.186
-0.028
-0.117
-0.002
0.294
0.702
1.116
1.434
1.593
1.574
1.406
1.127
0.742
0.314
-0.057
-0.333
-0.48
-0.515
-0.49
-0.452
-0.431
-0.436
-0.484
-0.571
-0.688
-0.824
-0.892
-0.827
-0.618
-0.277
0.123
0.501
0.801
0.887
0.734
0.407
-0.008
-0.446
-0.841
-1.139
-1.225
-1.147
-0.936
-0.636
-0.223
0.227
0.641
1.013
1.419
1.821
2.133
2.302
2.327
2.221
1.992
1.623
1.186
0.776
0.462
0.198
0.024
-0.058
-0.113
-0.197
-0.335
-0.51
-0.703
-0.907
-1.083
-1.156
-1.084
-0.895
-0.644
-0.384
-0.151
0.017
0.064
-0.019
-0.208
-0.483
-0.739
-0.912
-0.917
-0.742
-0.413
-0.094
0.13
0.224
0.182
0.019
-0.229
-0.461
-0.572
-0.523
-0.299
0.01
0.33
0.575
0.69
0.602
0.392
0.14
-0.1
-0.303
-0.425
-0.438
-0.36
-0.254
-0.227
-0.354
-0.534
-0.704
-0.84
-0.918
-0.9
-0.786
-0.602
-0.344
-0.038
0.227
0.389
0.414
0.316
0.19
0.138
0.098
-0.075
-0.444
-0.949
-1.459
-1.842
-2.021
-1.96
-1.682
-1.236
-0.724
-0.241
0.138
0.353
0.339
0.088
-0.231
-0.429
-0.43
-0.244
0.061
0.41
0.679
0.816
0.805
0.612
0.262
-0.215
-0.707
-1.062
-1.191
-1.07
-0.711
-0.129
0.552
1.149
1.51
1.557
1.307
0.844
0.32
-0.143
-0.444
-0.577
-0.548
-0.372
-0.088
0.23
0.444
0.464
0.331
0.113
-0.128
-0.341
-0.463
-0.459
-0.246
0.143
0.63
1.122
1.523
1.797
1.843
1.627
1.24
0.779
0.348
0.054
-0.034
0.036
0.213
0.375
0.452
0.401
0.227
-0.031
-0.361
-0.668
-0.874
-0.933
-0.837
-0.618
-0.37
-0.182
-0.071
-0.092
-0.27
-0.542
-0.795
-0.962
-1.014
-0.943
-0.768
-0.465
-0.16
0.059
0.151
0.161
0.108
0.006
-0.135
-0.307
-0.49
-0.672
-0.799
-0.832
-0.768
-0.629
-0.506
-0.37
-0.227
-0.106
-0.06
-0.144
-0.418
-0.785
-1.116
-1.316
-1.337
-1.209
-0.989
-0.699
-0.382
-0.077
0.158
0.309
0.359
0.299
0.176
0.094
0.094
0.186
0.332
0.495
0.624
0.697
0.682
0.594
0.46
0.33
0.213
0.061
-0.086
-0.186
-0.215
-0.22
-0.241
-0.286
-0.369
-0.459
-0.535
-0.591
