0.5,0,0.01,0.009,1.824,1.925,-0.01,0,5,30,6,0
1,0.002,0.007,0.007,1.624,1.277,-0.006,0,5,30,6,0
1.5,0.002,0.003,0.003,0.989,0.546,-0.002,0,5,30,6,0
2,0,0,0,0.363,-0.167,0.002,0,5,30,6,0
2.5,-0.003,-0.002,-0.003,-0.123,-0.826,0.006,0,5,30,6,0
3,-0.006,-0.002,-0.005,-0.377,-1.39,0.01,0,5,30,6,0
3.5,-0.008,0,-0.007,-0.351,-1.825,0.013,0,5,30,6,0
4,-0.008,0.002,-0.008,-0.045,-2.103,0.016,0,5,30,6,0
4.5,-0.007,0.004,-0.007,0.474,-2.21,0.019,0,5,30,6,0
5,-0.005,0.005,-0.006,1.013,-2.159,0.02,0,5,30,6,0
5.5,-0.003,0.005,-0.005,1.436,-1.96,0.019,0,5,30,6,0
6,-0.001,0.004,-0.004,1.661,-1.627,0.017,0,5,30,6,0
6.5,0,0.002,-0.002,1.679,-1.181,0.014,0,5,30,6,0
7,0,0,0,1.506,-0.649,0.009,0,5,30,6,0
7.5,-0.001,-0.001,0.001,1.274,-0.051,0.004,0,5,30,6,0
8,-0.003,-0.003,0.003,1.068,0.579,-0.002,0,5,30,6,0
8.5,-0.006,-0.003,0.006,1.218,1.255,-0.007,0,5,30,6,0
9,-0.01,-0.003,0.009,1.767,1.94,-0.01,0,5,30,6,0
9.5,-0.014,0,0.012,2.569,2.587,-0.013,0,5,30,6,0
10,-0.016,0.004,0.016,3.503,3.167,-0.015,0,5,30,6,0
10.5,-0.017,0.01,0.018,4.37,3.641,-0.017,0,5,30,6,0
11,-0.016,0.016,0.02,5,3.983,-0.018,0,5,30,6,0
11.5,-0.012,0.021,0.022,5.412,4.199,-0.018,0,5,30,6,0
12,-0.006,0.024,0.022,5.659,4.296,-0.018,0,5,30,6,0
12.5,0,0.024,0.022,5.647,4.259,-0.018,0,5,30,6,0
13,0.006,0.022,0.021,5.236,4.066,-0.018,0,5,30,6,0
