0.5,0,0.002,0.001,-2.561,1.284,-0.017,0,5,60,6,0
1,0.001,0.002,0.002,-2.888,1.58,-0.02,0,5,60,6,0
1.5,0.004,0.002,0.004,-2.185,1.797,-0.02,0,5,60,6,0
2,0.007,0,0.006,-0.564,1.926,-0.017,0,5,60,6,0
2.5,0.009,-0.005,0.009,1.684,1.965,-0.011,0,5,60,6,0
3,0.006,-0.011,0.012,3.866,1.898,-0.004,0,5,60,6,0
3.5,0,-0.014,0.013,5.471,1.73,0.001,0,5,60,6,0
4,-0.007,-0.012,0.013,6.02,1.462,0.005,0,5,60,6,0
4.5,-0.01,-0.006,0.011,5.383,1.109,0.006,0,5,60,6,0
5,-0.008,0,0.007,3.733,0.697,0.005,0,5,60,6,0
5.5,-0.003,0.001,0.003,1.437,0.252,0.002,0,5,60,6,0
6,0.001,-0.002,-0.002,-1.026,-0.198,-0.001,0,5,60,6,0
6.5,0,-0.007,-0.006,-3.099,-0.621,-0.003,0,5,60,6,0
7,-0.005,-0.008,-0.009,-4.184,-0.979,-0.004,0,5,60,6,0
7.5,-0.009,-0.005,-0.009,-4.047,-1.25,-0.001,0,5,60,6,0
8,-0.01,0,-0.009,-2.962,-1.43,0.003,0,5,60,6,0
8.5,-0.007,0.004,-0.007,-1.444,-1.525,0.008,0,5,60,6,0
9,-0.003,0.005,-0.005,0.259,-1.524,0.013,0,5,60,6,0
9.5,0,0.003,-0.003,1.784,-1.432,0.016,0,5,60,6,0
10,0.001,0.001,-0.002,2.453,-1.28,0.017,0,5,60,6,0
10.5,0.001,0.001,-0.001,1.989,-1.086,0.014,0,5,60,6,0
11,0.003,0,-0.002,0.5,-0.863,0.008,0,5,60,6,0
11.5,0.004,-0.002,-0.004,-1.486,-0.615,0.001,0,5,60,6,0
12,0.003,-0.005,-0.006,-3.49,-0.355,-0.007,0,5,60,6,0
12.5,0,-0.007,-0.007,-5.126,-0.1,-0.013,0,5,60,6,0
13,-0.004,-0.007,-0.007,-6.092,0.135,-0.017,0,5,60,6,0
13.5,-0.006,-0.003,-0.006,-6.153,0.339,-0.019,0,5,60,6,0
14,-0.005,0,-0.005,-5.45,0.493,-0.019,0,5,60,6,0
14.5,-0.003,0.002,-0.003,-4.061,0.596,-0.016,0,5,60,6,0
15,0,0,0,-2.24,0.645,-0.011,0,5,60,6,0
15.5,0,-0.003,0.002,-0.032,0.657,-0.005,0,5,60,6,0
16,-0.003,-0.005,0.005,2.229,0.636,0.001,0,5,60,6,0
16.5,-0.006,-0.003,0.006,3.548,0.549,0.005,0,5,60,6,0
17,-0.006,0,0.006,3.395,0.392,0.006,0,5,60,6,0
17.5,-0.003,0.002,0.003,2.108,0.19,0.004,0,5,60,6,0
18,0,0,0,0.382,-0.02,0.001,0,5,60,6,0
18.5,0,-0.003,-0.002,-1.27,-0.219,-0.002,0,5,60,6,0
19,-0.003,-0.005,-0.005,-2.882,-0.419,-0.004,0,5,60,6,0
19.5,-0.007,-0.004,-0.008,-4.519,-0.626,-0.007,0,5,60,6,0
20,-0.011,0,-0.01,-5.878,-0.825,-0.009,0,5,60,6,0
20.5,-0.011,0.006,-0.012,-6.685,-1.002,-0.01,0,5,60,6,0
21,-0.007,0.012,-0.013,-6.921,-1.155,-0.01,0,5,60,6,0
21.5,0,0.014,-0.013,-6.534,-1.271,-0.008,0,5,60,6,0
22,0.006,0.011,-0.012,-5.724,-1.351,-0.005,0,5,60,6,0
22.5,0.01,0.006,-0.011,-4.742,-1.394,-0.002,0,5,60,6,0
23,0.011,0,-0.01,-3.929,-1.406,0,0,5,60,6,0
23.5,0.009,-0.005,-0.009,-3.318,-1.379,0.002,0,5,60,6,0
24,0.004,-0.008,-0.008,-2.737,-1.299,0.003,0,5,60,6,0
24.5,0,-0.007,-0.007,-1.975,-1.155,0.004,0,5,60,6,0
25,-0.003,-0.004,-0.005,-1.087,-0.955,0.005,0,5,60,6,0
25.5,-0.003,-0.002,-0.003,-0.237,-0.711,0.005,0,5,60,6,0
26,-0.001,0,-0.001,0.64,-0.425,0.005,0,5,60,6,0
26.5,0.002,-0.001,0.002,1.787,-0.094,0.006,0,5,60,6,0
27,0.003,-0.005,0.005,3.528,0.292,0.007,0,5,60,6,0
27.5,0,-0.01,0.009,5.585,0.709,0.01,0,5,60,6,0
28,-0.007,-0.013,0.013,7.539,1.128,0.012,0,5,60,6,0
28.5,-0.016,-0.009,0.017,9.253,1.54,0.013,0,5,60,6,0
29,-0.022,0,0.02,10.535,1.925,0.013,0,5,60,6,0
29.5,-0.02,0.012,0.022,11.03,2.25,0.012,0,5,60,6,0
30,-0.012,0.021,0.022,10.787,2.506,0.009,0,5,60,6,0
