0,0,0,0,0,0,0,0,0,0,0,0
0.5,0,-0.021,-0.02,-4.721,-6.135,0.024,0,6,30,6,0
1,-0.005,-0.018,-0.018,-4.542,-5.252,0.02,0,6,30,6,0
1.5,-0.008,-0.013,-0.015,-4.175,-4.167,0.015,0,6,30,6,0
2,-0.008,-0.008,-0.011,-3.546,-2.931,0.009,0,6,30,6,0
2.5,-0.006,-0.003,-0.006,-2.543,-1.582,0.004,0,6,30,6,0
3,-0.002,0,-0.002,-1.404,-0.218,-0.001,0,6,30,6,0
3.5,0.003,0,0.003,-0.265,1.097,-0.006,0,6,30,6,0
4,0.007,-0.002,0.007,0.779,2.302,-0.011,0,6,30,6,0
4.5,0.01,-0.006,0.011,1.983,3.406,-0.015,0,6,30,6,0
5,0.01,-0.01,0.014,3.116,4.332,-0.018,0,6,30,6,0
5.5,0.009,-0.015,0.016,3.687,4.977,-0.02,0,6,30,6,0
6,0.005,-0.017,0.017,3.529,5.303,-0.022,0,6,30,6,0
6.5,0,-0.017,0.016,2.758,5.307,-0.024,0,6,30,6,0
7,-0.004,-0.015,0.015,1.91,5.06,-0.024,0,6,30,6,0
7.5,-0.007,-0.012,0.013,1.24,4.587,-0.023,0,6,30,6,0
8,-0.008,-0.008,0.011,0.95,3.938,-0.02,0,6,30,6,0
8.5,-0.009,-0.005,0.01,1.844,3.296,-0.014,0,6,30,6,0
9,-0.011,-0.003,0.011,3.959,2.724,-0.007,0,6,30,6,0
9.5,-0.013,0,0.013,7.255,2.333,0.001,0,6,30,6,0
10,-0.015,0.004,0.015,10.857,2.096,0.009,0,6,30,6,0
10.5,-0.016,0.009,0.018,13.96,2.017,0.015,0,6,30,6,0
11,-0.015,0.015,0.02,15.897,2.083,0.019,0,6,30,6,0
11.5,-0.011,0.019,0.021,16.316,2.285,0.018,0,6,30,6,0
12,-0.006,0.021,0.021,15.076,2.584,0.014,0,6,30,6,0
12.5,0,0.02,0.019,12.41,2.948,0.007,0,6,30,6,0
13,0.005,0.017,0.017,8.967,3.368,-0.001,0,6,30,6,0
13.5,0.008,0.013,0.015,5.474,3.816,-0.01,0,6,30,6,0
14,0.01,0.01,0.014,2.569,4.257,-0.018,0,6,30,6,0
14.5,0.011,0.007,0.013,0.602,4.627,-0.024,0,6,30,6,0
15,0.013,0.003,0.013,-0.173,4.897,-0.027,0,6,30,6,0
15.5,0.014,0,0.014,0.385,5.061,-0.027,0,6,30,6,0
16,0.015,-0.004,0.015,1.54,5.002,-0.024,0,6,30,6,0
16.5,0.013,-0.008,0.015,2.842,4.714,-0.02,0,6,30,6,0
17,0.011,-0.011,0.014,3.837,4.185,-0.015,0,6,30,6,0
17.5,0.007,-0.012,0.013,4.196,3.431,-0.011,0,6,30,6,0
18,0.003,-0.01,0.01,3.782,2.489,-0.006,0,6,30,6,0
18.5,0,-0.007,0.006,2.891,1.459,-0.002,0,6,30,6,0
19,-0.001,-0.003,0.003,1.658,0.388,0.001,0,6,30,6,0
19.5,0.001,0.001,-0.001,0.276,-0.666,0.004,0,6,30,6,0
20,0.004,0.004,-0.005,-0.9,-1.621,0.007,0,6,30,6,0
20.5,0.007,0.004,-0.008,-1.573,-2.409,0.01,0,6,30,6,0
21,0.01,0.003,-0.01,-1.783,-3.016,0.013,0,6,30,6,0
21.5,0.011,0,-0.011,-1.88,-3.472,0.015,0,6,30,6,0
22,0.012,-0.003,-0.012,-1.955,-3.758,0.017,0,6,30,6,0
22.5,0.01,-0.006,-0.012,-1.773,-3.821,0.017,0,6,30,6,0
23,0.008,-0.008,-0.011,-1.316,-3.656,0.017,0,6,30,6,0
23.5,0.005,-0.008,-0.009,-0.545,-3.253,0.017,0,6,30,6,0
24,0.002,-0.007,-0.007,0.426,-2.638,0.015,0,6,30,6,0
24.5,0,-0.004,-0.004,1.28,-1.876,0.013,0,6,30,6,0
25,0,-0.001,-0.001,1.696,-1.043,0.009,0,6,30,6,0
25.5,0.001,0.001,0.001,1.617,-0.186,0.004,0,6,30,6,0
26,0.002,0.002,0.002,0.835,0.594,-0.002,0,6,30,6,0
26.5,0.003,0.002,0.003,-0.382,1.275,-0.008,0,6,30,6,0
27,0.003,0.001,0.003,-1.69,1.828,-0.013,0,6,30,6,0
27.5,0.004,0,0.003,-2.722,2.24,-0.017,0,6,30,6,0
28,0.003,-0.001,0.003,-3.417,2.462,-0.02,0,6,30,6,0
28.5,0.003,-0.002,0.003,-3.553,2.508,-0.02,0,6,30,6,0
29,0.003,-0.003,0.004,-2.684,2.457,-0.018,0,6,30,6,0
29.5,0.003,-0.005,0.006,-0.683,2.365,-0.014,0,6,30,6,0
30,0.002,-0.007,0.007,1.476,2.129,-0.009,0,6,30,6,0
30.5,0,-0.007,0.007,2.707,1.666,-0.004,0,6,30,6,0
31,-0.001,-0.005,0.005,2.583,0.985,0,0,6,30,6,0
31.5,-0.001,-0.002,0.002,1.442,0.183,0.002,0,6,30,6,0
32,0.001,0.001,-0.002,-0.242,-0.659,0.003,0,6,30,6,0
32.5,0.005,0.003,-0.005,-1.775,-1.428,0.004,0,6,30,6,0
33,0.008,0.002,-0.008,-2.763,-2.072,0.006,0,6,30,6,0
33.5,0.01,0,-0.009,-2.928,-2.532,0.008,0,6,30,6,0
34,0.01,-0.003,-0.01,-2.422,-2.817,0.011,0,6,30,6,0
34.5,0.008,-0.004,-0.008,-1.032,-2.842,0.013,0,6,30,6,0
35,0.004,-0.004,-0.006,1.006,-2.612,0.016,0,6,30,6,0
35.5,0.001,-0.002,-0.002,3.572,-2.088,0.018,0,6,30,6,0
36,-0.001,0.002,0.002,6.249,-1.301,0.019,0,6,30,6,0
36.5,0,0.007,0.007,8.389,-0.327,0.018,0,6,30,6,0
37,0.003,0.011,0.011,9.473,0.749,0.014,0,6,30,6,0
