0,0,0,0,0,0,0,0,0,0,0,0
0.5,0,0,0,0,0,0,0,4,45,6,0
1,0,0,0,0,0,0,0,4,45,6,0
1.5,0,0,0,0,0,0,0,4,45,6,0
2,0,0,0,0,0,0,0,4,45,6,0
2.5,0,0,0,0.019,0.002,0,0,4,45,6,0
3,0,0,0,0.152,0.013,0.001,0,4,45,6,0
3.5,0.001,-0.001,0.001,0.402,0.035,0.001,0,4,45,6,0
4,0.001,-0.002,0.001,0.736,0.068,0.002,0,4,45,6,0
4.5,0,-0.004,0.002,1.105,0.11,0.004,0,4,45,6,0
5,-0.002,-0.005,0.003,1.439,0.159,0.004,0,4,45,6,0
5.5,-0.004,-0.004,0.003,1.704,0.215,0.005,0,4,45,6,0
6,-0.006,-0.003,0.004,1.876,0.276,0.004,0,4,45,6,0
6.5,-0.008,0,0.004,1.914,0.336,0.004,0,4,45,6,0
7,-0.007,0.003,0.005,1.796,0.39,0.002,0,4,45,6,0
7.5,-0.005,0.005,0.004,1.502,0.431,0,0,4,45,6,0
8,-0.003,0.006,0.004,1.063,0.455,-0.003,0,4,45,6,0
8.5,0,0.005,0.003,0.566,0.46,-0.005,0,4,45,6,0
9,0.002,0.004,0.002,0.082,0.443,-0.007,0,4,45,6,0
9.5,0.002,0.002,0.002,-0.132,0.422,-0.008,0,4,45,6,0
10,0.003,0.001,0.002,0.035,0.401,-0.007,0,4,45,6,0
10.5,0.004,0,0.003,0.485,0.378,-0.004,0,4,45,6,0
11,0.006,-0.002,0.004,1.202,0.362,0,0,4,45,6,0
11.5,0.006,-0.006,0.005,2.024,0.351,0.004,0,4,45,6,0
12,0.004,-0.009,0.006,2.707,0.34,0.007,0,4,45,6,0
12.5,0,-0.01,0.006,3.101,0.328,0.01,0,4,45,6,0
13,-0.004,-0.01,0.006,3.12,0.315,0.01,0,4,45,6,0
13.5,-0.007,-0.007,0.005,2.755,0.299,0.008,0,4,45,6,0
14,-0.007,-0.003,0.005,2.157,0.287,0.006,0,4,45,6,0
14.5,-0.007,0,0.004,1.66,0.298,0.003,0,4,45,6,0
15,-0.006,0.003,0.004,1.477,0.336,0.001,0,4,45,6,0
15.5,-0.005,0.005,0.004,1.669,0.403,0.001,0,4,45,6,0
16,-0.004,0.009,0.006,2.187,0.492,0.002,0,4,45,6,0
16.5,0,0.012,0.007,2.839,0.592,0.004,0,4,45,6,0
17,0.005,0.013,0.008,3.323,0.682,0.005,0,4,45,6,0
17.5,0.01,0.01,0.009,3.382,0.745,0.004,0,4,45,6,0
18,0.012,0.005,0.008,2.762,0.756,0,0,4,45,6,0
18.5,0.01,0,0.006,1.429,0.703,-0.005,0,4,45,6,0
19,0.004,-0.002,0.003,-0.222,0.603,-0.012,0,4,45,6,0
19.5,0,0,0,-1.873,0.459,-0.017,0,4,45,6,0
20,-0.002,0.005,-0.003,-3.172,0.283,-0.021,0,4,45,6,0
20.5,0,0.008,-0.005,-3.686,0.105,-0.02,0,4,45,6,0
21,0.003,0.008,-0.005,-3.368,-0.07,-0.015,0,4,45,6,0
21.5,0.006,0.006,-0.005,-2.385,-0.236,-0.008,0,4,45,6,0
22,0.006,0.002,-0.004,-1.138,-0.398,0.001,0,4,45,6,0
22.5,0.005,0,-0.003,0.045,-0.549,0.01,0,4,45,6,0
23,0.003,-0.001,-0.002,0.939,-0.679,0.016,0,4,45,6,0
23.5,0.002,-0.002,-0.002,1.426,-0.778,0.021,0,4,45,6,0
24,0.001,-0.003,-0.002,1.508,-0.833,0.022,0,4,45,6,0
24.5,0,-0.004,-0.003,1.184,-0.844,0.02,0,4,45,6,0
25,-0.002,-0.005,-0.003,0.643,-0.8,0.017,0,4,45,6,0
25.5,-0.004,-0.004,-0.003,0.242,-0.688,0.013,0,4,45,6,0
26,-0.004,-0.002,-0.002,0.127,-0.511,0.009,0,4,45,6,0
26.5,-0.002,0,-0.001,0.146,-0.297,0.006,0,4,45,6,0
27,0,0,0,0.324,-0.055,0.003,0,4,45,6,0
