0,0,0,0,0,0,0,0,0,0,0,0
0.5,0,0.006,0.006,2.991,0.556,0.004,0,5,75,6,0
1,0.005,0.006,0.007,2.828,1.059,-0.001,0,5,75,6,0
1.5,0.008,0.002,0.007,1.647,1.465,-0.007,0,5,75,6,0
2,0.006,-0.003,0.006,-0.007,1.767,-0.014,0,5,75,6,0
2.5,0.003,-0.005,0.005,-1.481,1.963,-0.019,0,5,75,6,0
3,-0.001,-0.006,0.005,-1.732,2.068,-0.021,0,5,75,6,0
3.5,-0.005,-0.005,0.007,-0.582,2.069,-0.018,0,5,75,6,0
4,-0.01,-0.001,0.009,1.65,1.965,-0.011,0,5,75,6,0
4.5,-0.011,0.006,0.012,4.345,1.75,-0.002,0,5,75,6,0
5,-0.006,0.014,0.014,6.783,1.433,0.007,0,5,75,6,0
5.5,0.004,0.015,0.014,8.238,1.01,0.014,0,5,75,6,0
6,0.011,0.008,0.013,8.67,0.512,0.019,0,5,75,6,0
6.5,0.011,0,0.01,8.41,-0.007,0.023,0,5,75,6,0
7,0.007,-0.005,0.008,7.751,-0.5,0.025,0,5,75,6,0
7.5,0.001,-0.005,0.005,6.635,-0.945,0.025,0,5,75,6,0
8,-0.001,-0.002,0.002,5.39,-1.297,0.025,0,5,75,6,0
8.5,0,0,0,4.529,-1.525,0.024,0,5,75,6,0
9,0,0,0,4.448,-1.615,0.025,0,5,75,6,0
9.5,-0.001,0.001,0.001,5.073,-1.564,0.026,0,5,75,6,0
10,0,0.003,0.003,6.085,-1.384,0.027,0,5,75,6,0
10.5,0.002,0.004,0.004,6.601,-1.108,0.026,0,5,75,6,0
11,0.005,0.002,0.005,6.241,-0.759,0.023,0,5,75,6,0
11.5,0.005,-0.001,0.005,5.007,-0.363,0.016,0,5,75,6,0
12,0.003,-0.004,0.004,3.149,0.053,0.008,0,5,75,6,0
12.5,0,-0.003,0.003,0.902,0.46,-0.001,0,5,75,6,0
13,-0.001,-0.001,0.001,-1.389,0.83,-0.01,0,5,75,6,0
13.5,0,0,0,-3.524,1.134,-0.018,0,5,75,6,0
14,0.002,-0.001,-0.002,-5.312,1.35,-0.025,0,5,75,6,0
14.5,0.002,-0.003,-0.003,-6.651,1.46,-0.029,0,5,75,6,0
15,0,-0.004,-0.003,-7.019,1.47,-0.03,0,5,75,6,0
15.5,-0.002,-0.002,-0.003,-6.228,1.384,-0.028,0,5,75,6,0
16,-0.001,0,-0.001,-4.183,1.217,-0.021,0,5,75,6,0
16.5,0.002,-0.001,0.002,-1.406,0.978,-0.011,0,5,75,6,0
17,0.002,-0.005,0.005,1.767,0.691,-0.001,0,5,75,6,0
17.5,-0.002,-0.008,0.007,4.768,0.375,0.01,0,5,75,6,0
18,-0.008,-0.006,0.009,6.912,0.048,0.018,0,5,75,6,0
18.5,-0.009,0,0.009,7.731,-0.273,0.023,0,5,75,6,0
19,-0.006,0.005,0.007,7.274,-0.562,0.024,0,5,75,6,0
19.5,-0.001,0.004,0.004,5.757,-0.801,0.022,0,5,75,6,0
20,0.001,0.001,0.001,3.797,-0.97,0.018,0,5,75,6,0
20.5,-0.001,-0.001,-0.001,1.887,-1.058,0.013,0,5,75,6,0
21,-0.004,0,-0.003,0.368,-1.062,0.009,0,5,75,6,0
21.5,-0.003,0.003,-0.004,-0.463,-0.984,0.006,0,5,75,6,0
22,0,0.003,-0.003,0.202,-0.81,0.007,0,5,75,6,0
22.5,0,-0.001,0.001,2.278,-0.554,0.01,0,5,75,6,0
23,-0.006,-0.002,0.006,5.223,-0.236,0.016,0,5,75,6,0
23.5,-0.011,0.003,0.01,8.105,0.115,0.021,0,5,75,6,0
24,-0.01,0.012,0.014,10.273,0.476,0.024,0,5,75,6,0
24.5,0,0.018,0.016,10.837,0.809,0.023,0,5,75,6,0
25,0.01,0.014,0.016,9.543,1.091,0.017,0,5,75,6,0
25.5,0.014,0.004,0.013,6.858,1.31,0.008,0,5,75,6,0
26,0.01,-0.004,0.009,3.47,1.456,-0.002,0,5,75,6,0
26.5,0.003,-0.005,0.005,0.036,1.52,-0.012,0,5,75,6,0
27,0,-0.002,0.002,-2.751,1.501,-0.019,0,5,75,6,0
27.5,0,0,0,-4.373,1.403,-0.023,0,5,75,6,0
28,0.001,0,-0.001,-4.342,1.238,-0.021,0,5,75,6,0
28.5,0,0,0,-2.663,1.021,-0.015,0,5,75,6,0
29,-0.001,0.003,0.003,0.231,0.764,-0.005,0,5,75,6,0
29.5,0.002,0.006,0.006,3.147,0.467,0.005,0,5,75,6,0
30,0.006,0.005,0.007,5.406,0.151,0.013,0,5,75,6,0
30.5,0.008,0,0.007,6.545,-0.168,0.019,0,5,75,6,0
31,0.005,-0.004,0.006,5.988,-0.479,0.02,0,5,75,6,0
31.5,0.001,-0.002,0.002,3.794,-0.767,0.016,0,5,75,6,0
32,0.001,0.002,-0.001,1.625,-0.979,0.012,0,5,75,6,0
32.5,0.003,0.002,-0.004,0.309,-1.099,0.009,0,5,75,6,0
33,0.004,-0.001,-0.004,0.185,-1.119,0.009,0,5,75,6,0
33.5,0.001,-0.001,-0.002,1.56,-1.031,0.012,0,5,75,6,0
34,0,0.002,0.002,4.011,-0.847,0.017,0,5,75,6,0
34.5,0.004,0.006,0.006,6.917,-0.581,0.023,0,5,75,6,0
35,0.011,0.005,0.011,9.699,-0.253,0.028,0,5,75,6,0
35.5,0.015,-0.004,0.014,11.409,0.105,0.03,0,5,75,6,0
36,0.011,-0.014,0.017,12.044,0.48,0.029,0,5,75,6,0
36.5,0,-0.019,0.017,11.676,0.851,0.025,0,5,75,6,0
37,-0.012,-0.015,0.017,10.652,1.201,0.019,0,5,75,6,0
37.5,-0.018,-0.005,0.017,9.251,1.51,0.013,0,5,75,6,0
38,-0.016,0.007,0.016,7.853,1.761,0.007,0,5,75,6,0
38.5,-0.009,0.015,0.016,7.17,1.953,0.004,0,5,75,6,0
39,0.002,0.018,0.017,7.427,2.077,0.004,0,5,75,6,0
39.5,0.013,0.013,0.017,7.621,2.1,0.004,0,5,75,6,0
40,0.017,0.002,0.016,7.157,2.011,0.004,0,5,75,6,0
40.5,0.013,-0.008,0.014,5.917,1.814,0.002,0,5,75,6,0
41,0.004,-0.01,0.01,3.843,1.515,-0.001,0,5,75,6,0
41.5,-0.002,-0.006,0.006,1.403,1.137,-0.005,0,5,75,6,0
42,-0.001,-0.001,0.001,-0.893,0.704,-0.008,0,5,75,6,0
42.5,0.003,0,-0.002,-2.59,0.245,-0.009,0,5,75,6,0
43,0.004,-0.003,-0.005,-3.082,-0.202,-0.007,0,5,75,6,0
43.5,0.002,-0.006,-0.005,-2.623,-0.621,-0.002,0,5,75,6,0
44,-0.002,-0.005,-0.005,-1.429,-0.985,0.004,0,5,75,6,0
44.5,-0.004,-0.002,-0.004,0.105,-1.279,0.01,0,5,75,6,0
45,-0.004,0.001,-0.004,1.322,-1.494,0.015,0,5,75,6,0
45.5,-0.003,0.003,-0.003,1.893,-1.62,0.018,0,5,75,6,0
46,-0.001,0.004,-0.004,1.759,-1.65,0.018,0,5,75,6,0
46.5,0.002,0.004,-0.004,1.107,-1.582,0.015,0,5,75,6,0
47,0.005,0.002,-0.005,0.074,-1.422,0.011,0,5,75,6,0
47.5,0.005,-0.001,-0.005,-0.78,-1.173,0.007,0,5,75,6,0
48,0.003,-0.004,-0.004,-0.893,-0.843,0.004,0,5,75,6,0
48.5,0,-0.002,-0.002,-0.175,-0.451,0.003,0,5,75,6,0
49,0.001,0.001,0.001,1.223,-0.024,0.003,0,5,75,6,0
49.5,0.006,0.001,0.005,3.071,0.413,0.005,0,5,75,6,0
50,0.009,-0.004,0.009,5.069,0.836,0.007,0,5,75,6,0
50.5,0.007,-0.012,0.013,6.733,1.216,0.009,0,5,75,6,0
51,-0.002,-0.016,0.015,7.602,1.525,0.009,0,5,75,6,0
51.5,-0.012,-0.012,0.016,7.497,1.747,0.007,0,5,75,6,0
52,-0.016,-0.002,0.015,6.474,1.87,0.003,0,5,75,6,0
52.5,-0.012,0.007,0.013,5.101,1.896,-0.001,0,5,75,6,0
53,-0.004,0.011,0.011,3.29,1.815,-0.005,0,5,75,6,0
53.5,0.002,0.008,0.007,1.288,1.633,-0.009,0,5,75,6,0
54,0.004,0.003,0.004,-0.449,1.364,-0.012,0,5,75,6,0
54.5,0.002,0,0.002,-1.574,1.028,-0.012,0,5,75,6,0
55,0,0,0,-1.96,0.645,-0.01,0,5,75,6,0
55.5,0,0.002,-0.002,-2.034,0.227,-0.007,0,5,75,6,0
56,0.001,0.003,-0.003,-2.006,-0.204,-0.004,0,5,75,6,0
56.5,0.004,0.002,-0.004,-1.68,-0.614,0,0,5,75,6,0
57,0.006,-0.001,-0.005,-1.41,-0.987,0.004,0,5,75,6,0
57.5,0.005,-0.005,-0.006,-1.448,-1.305,0.006,0,5,75,6,0
58,0.001,-0.008,-0.008,-1.729,-1.549,0.007,0,5,75,6,0
58.5,-0.005,-0.008,-0.009,-2.073,-1.7,0.008,0,5,75,6,0
59,-0.009,-0.004,-0.009,-2.426,-1.754,0.007,0,5,75,6,0
59.5,-0.01,0.003,-0.01,-2.925,-1.715,0.006,0,5,75,6,0
60,-0.007,0.009,-0.01,-3.849,-1.597,0.002,0,5,75,6,0
60.5,0,0.011,-0.01,-4.412,-1.39,-0.001,0,5,75,6,0
61,0.006,0.008,-0.009,-4.319,-1.108,-0.003,0,5,75,6,0
61.5,0.008,0.002,-0.007,-3.759,-0.773,-0.004,0,5,75,6,0
62,0.005,-0.002,-0.005,-2.912,-0.408,-0.005,0,5,75,6,0
62.5,0.001,-0.002,-0.003,-2.017,-0.038,-0.005,0,5,75,6,0
63,0,-0.001,-0.001,-1.353,0.311,-0.006,0,5,75,6,0
63.5,0.001,0.001,0.001,-1.031,0.619,-0.008,0,5,75,6,0
64,0.002,0,0.001,-1.322,0.862,-0.01,0,5,75,6,0
64.5,0.001,-0.001,0.001,-1.915,1.034,-0.013,0,5,75,6,0
65,0,-0.001,0.001,-2.559,1.127,-0.016,0,5,75,6,0
65.5,0,0,0,-3.186,1.135,-0.017,0,5,75,6,0
66,0.001,0.001,-0.001,-3.796,1.058,-0.018,0,5,75,6,0
66.5,0.002,0,-0.002,-4.245,0.902,-0.018,0,5,75,6,0
67,0.002,-0.002,-0.003,-4.141,0.689,-0.017,0,5,75,6,0
67.5,0.001,-0.003,-0.002,-3.244,0.438,-0.012,0,5,75,6,0
68,-0.001,-0.002,-0.002,-1.932,0.16,-0.006,0,5,75,6,0
68.5,-0.001,-0.001,-0.001,-0.598,-0.129,-0.001,0,5,75,6,0
69,-0.001,0,-0.001,0.525,-0.41,0.005,0,5,75,6,0
69.5,-0.001,0.001,-0.001,1.239,-0.665,0.009,0,5,75,6,0
70,0,0.002,-0.002,1.123,-0.889,0.01,0,5,75,6,0
70.5,0.002,0.003,-0.003,0.369,-1.062,0.009,0,5,75,6,0
71,0.005,0.002,-0.004,-0.284,-1.159,0.008,0,5,75,6,0
71.5,0.005,-0.001,-0.005,-0.534,-1.175,0.008,0,5,75,6,0
72,0.003,-0.004,-0.005,-0.596,-1.118,0.007,0,5,75,6,0
72.5,0,-0.005,-0.004,-0.629,-0.995,0.006,0,5,75,6,0
73,-0.002,-0.003,-0.004,-0.622,-0.815,0.005,0,5,75,6,0
73.5,-0.004,-0.001,-0.004,-1.242,-0.61,0.001,0,5,75,6,0
74,-0.005,0.002,-0.005,-2.647,-0.399,-0.004,0,5,75,6,0
74.5,-0.004,0.006,-0.007,-4.764,-0.199,-0.011,0,5,75,6,0
75,0.001,0.01,-0.009,-7.225,-0.025,-0.019,0,5,75,6,0
75.5,0.009,0.009,-0.011,-9.511,0.113,-0.027,0,5,75,6,0
76,0.014,0.002,-0.013,-11.174,0.21,-0.032,0,5,75,6,0
76.5,0.013,-0.008,-0.014,-12.017,0.255,-0.034,0,5,75,6,0
77,0.006,-0.014,-0.014,-12.062,0.245,-0.034,0,5,75,6,0
77.5,-0.004,-0.014,-0.013,-11.32,0.182,-0.032,0,5,75,6,0
78,-0.011,-0.008,-0.012,-10.093,0.067,-0.028,0,5,75,6,0
78.5,-0.013,0,-0.012,-9.419,-0.113,-0.024,0,5,75,6,0
79,-0.011,0.008,-0.012,-9.107,-0.333,-0.022,0,5,75,6,0
79.5,-0.003,0.013,-0.012,-8.395,-0.558,-0.018,0,5,75,6,0
80,0.005,0.012,-0.012,-7.125,-0.768,-0.013,0,5,75,6,0
80.5,0.01,0.006,-0.01,-5.576,-0.953,-0.008,0,5,75,6,0
81,0.009,-0.001,-0.008,-3.316,-1.078,-0.001,0,5,75,6,0
81.5,0.004,-0.004,-0.005,-0.647,-1.138,0.007,0,5,75,6,0
82,0,-0.002,-0.002,1.975,-1.127,0.014,0,5,75,6,0
82.5,0.001,0.001,0.001,4.107,-1.046,0.019,0,5,75,6,0
83,0.003,0.001,0.003,5.369,-0.901,0.022,0,5,75,6,0
83.5,0.005,-0.001,0.004,5.552,-0.704,0.02,0,5,75,6,0
84,0.003,-0.003,0.004,4.532,-0.47,0.016,0,5,75,6,0
84.5,0,-0.003,0.002,2.631,-0.214,0.009,0,5,75,6,0
85,-0.001,-0.001,0.001,0.584,0.059,0.001,0,5,75,6,0
85.5,0,0,0,-0.95,0.335,-0.005,0,5,75,6,0
86,0,0,0,-1.513,0.603,-0.009,0,5,75,6,0
86.5,-0.001,0.001,0.001,-1.242,0.839,-0.01,0,5,75,6,0
87,0,0.003,0.003,-0.683,1.017,-0.01,0,5,75,6,0
87.5,0.003,0.003,0.004,-0.135,1.126,-0.009,0,5,75,6,0
88,0.005,0.001,0.004,0.213,1.157,-0.008,0,5,75,6,0
88.5,0.004,-0.002,0.004,-0.157,1.098,-0.009,0,5,75,6,0
89,0.001,-0.002,0.002,-0.957,0.962,-0.01,0,5,75,6,0
89.5,0,0,0,-1.917,0.761,-0.011,0,5,75,6,0
90,0.001,0.001,-0.001,-2.621,0.514,-0.011,0,5,75,6,0
