0,0,0,0,0,0,0,0,0,0,0,0
0.5,0,0.005,0.003,-0.434,0.733,-0.015,0,4,60,6,0
1,0.003,0.005,0.004,-0.643,0.883,-0.018,0,4,60,6,0
1.5,0.006,0.003,0.004,-0.72,0.974,-0.02,0,4,60,6,0
2,0.007,0,0.004,-0.62,1.005,-0.021,0,4,60,6,0
2.5,0.006,-0.004,0.004,-0.401,0.974,-0.019,0,4,60,6,0
3,0.004,-0.006,0.004,-0.104,0.883,-0.016,0,4,60,6,0
3.5,0,-0.007,0.004,0.283,0.744,-0.012,0,4,60,6,0
4,-0.003,-0.006,0.004,0.702,0.566,-0.006,0,4,60,6,0
4.5,-0.005,-0.003,0.003,1.057,0.361,-0.001,0,4,60,6,0
5,-0.004,0,0.002,1.243,0.141,0.004,0,4,60,6,0
5.5,-0.002,0.001,0.001,1.062,-0.09,0.007,0,4,60,6,0
6,0.001,-0.001,-0.001,0.451,-0.32,0.008,0,4,60,6,0
6.5,0,-0.006,-0.003,-0.474,-0.536,0.007,0,4,60,6,0
7,-0.005,-0.008,-0.006,-1.372,-0.718,0.006,0,4,60,6,0
7.5,-0.011,-0.006,-0.007,-2.018,-0.854,0.005,0,4,60,6,0
8,-0.014,0,-0.008,-2.294,-0.936,0.005,0,4,60,6,0
8.5,-0.011,0.006,-0.007,-1.86,-0.945,0.007,0,4,60,6,0
9,-0.005,0.008,-0.006,-0.843,-0.886,0.011,0,4,60,6,0
9.5,0,0.005,-0.003,0.479,-0.766,0.016,0,4,60,6,0
10,0,0.001,0,1.802,-0.595,0.019,0,4,60,6,0
10.5,-0.003,-0.002,0.002,2.835,-0.386,0.021,0,4,60,6,0
11,-0.007,0,0.004,3.317,-0.156,0.019,0,4,60,6,0
11.5,-0.007,0.004,0.005,3.153,0.08,0.014,0,4,60,6,0
12,-0.004,0.008,0.005,2.527,0.313,0.007,0,4,60,6,0
12.5,0,0.009,0.005,1.654,0.531,-0.001,0,4,60,6,0
13,0.004,0.007,0.005,0.884,0.729,-0.008,0,4,60,6,0
13.5,0.008,0.004,0.005,0.395,0.896,-0.014,0,4,60,6,0
14,0.01,0,0.005,0.262,1.021,-0.016,0,4,60,6,0
14.5,0.009,-0.005,0.006,0.348,1.091,-0.017,0,4,60,6,0
15,0.006,-0.01,0.006,0.597,1.103,-0.016,0,4,60,6,0
15.5,0,-0.012,0.007,0.959,1.056,-0.014,0,4,60,6,0
16,-0.005,-0.009,0.006,1.062,0.94,-0.011,0,4,60,6,0
16.5,-0.008,-0.004,0.005,0.833,0.764,-0.009,0,4,60,6,0
17,-0.006,0,0.003,0.383,0.542,-0.008,0,4,60,6,0
17.5,-0.002,0.001,0.001,-0.089,0.293,-0.006,0,4,60,6,0
18,0,-0.001,0,-0.464,0.035,-0.003,0,4,60,6,0
18.5,0,-0.002,-0.001,-0.275,-0.197,0.002,0,4,60,6,0
19,-0.001,-0.001,-0.001,0.65,-0.381,0.01,0,4,60,6,0
19.5,0,0,0,1.788,-0.524,0.018,0,4,60,6,0
20,0.001,0,0.001,2.743,-0.622,0.024,0,4,60,6,0
20.5,0.002,-0.001,0.001,3.318,-0.671,0.028,0,4,60,6,0
21,0.002,-0.003,0.002,3.687,-0.655,0.03,0,4,60,6,0
21.5,0,-0.005,0.003,3.892,-0.574,0.029,0,4,60,6,0
22,-0.003,-0.005,0.003,3.944,-0.432,0.027,0,4,60,6,0
22.5,-0.006,-0.004,0.004,3.831,-0.241,0.023,0,4,60,6,0
23,-0.009,0,0.005,3.575,-0.013,0.018,0,4,60,6,0
23.5,-0.009,0.005,0.006,3.227,0.236,0.012,0,4,60,6,0
24,-0.006,0.01,0.007,2.895,0.493,0.006,0,4,60,6,0
24.5,0,0.013,0.007,2.596,0.738,0,0,4,60,6,0
25,0.007,0.012,0.008,2.349,0.955,-0.005,0,4,60,6,0
25.5,0.013,0.007,0.009,2.078,1.126,-0.009,0,4,60,6,0
26,0.014,0,0.008,1.408,1.221,-0.014,0,4,60,6,0
