lala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.233,1.37991,0.03141,1.836,1.53697,0.07813,,,,1.836,1.53697,,1.715,1.37991,,1.715,1.37991,,2.233,1.37991,,1.715,1.37991,,1.836,1.53697,,1.715,1.37991,,1.715,1.37991
2.11,1.45806,0.07815,1.923,1.58384,0.04687,,,,1.923,1.58384,,1.672,1.45806,,1.672,1.45806,,2.11,1.45806,,1.672,1.45806,,1.923,1.58384,,1.672,1.45806,,1.672,1.45806
1.992,1.5052,0.04714,2.028,1.63071,0.04687,,,,2.028,1.63071,,1.642,1.5052,,1.642,1.5052,,1.992,1.5052,,1.642,1.5052,,2.028,1.63071,,1.642,1.5052,,1.642,1.5052
1.882,1.56747,0.06227,2.145,1.69322,0.06251,,,,2.145,1.69322,,1.615,1.56747,,1.615,1.56747,,1.882,1.56747,,1.615,1.56747,,2.145,1.69322,,1.615,1.56747,,1.615,1.56747
1.78,1.59869,0.03122,2.268,1.75573,0.06251,,,,2.268,1.75573,,1.593,1.59869,,1.593,1.59869,,1.78,1.59869,,1.593,1.59869,,2.268,1.75573,,1.593,1.59869,,1.593,1.59869
1.685,1.64556,0.04687,2.363,1.8026,0.04687,,,,2.363,1.8026,,1.571,1.64556,,1.571,1.64556,,1.685,1.64556,,1.571,1.64556,,2.363,1.8026,,1.571,1.64556,,1.571,1.64556
1.602,1.73931,0.09375,2.474,1.84948,0.04688,,,,2.474,1.84948,,1.553,1.73931,,1.553,1.73931,,1.602,1.73931,,1.553,1.73931,,2.474,1.84948,,1.553,1.73931,,1.553,1.73931
1.504,1.75498,0.01567,2.573,1.91199,0.06251,,,,2.573,1.91199,,1.54,1.75498,,1.54,1.75498,,1.504,1.75498,,1.54,1.75498,,2.573,1.91199,,1.54,1.75498,,1.54,1.75498
1.409,1.80164,0.04666,2.695,1.97428,0.06229,,,,2.695,1.97428,,1.531,1.80164,,1.531,1.80164,,1.409,1.80164,,1.531,1.80164,,2.695,1.97428,,1.531,1.80164,,1.531,1.80164
1.325,1.86433,0.06269,2.808,2.03699,0.06271,,,,2.808,2.03699,,1.524,1.86433,,1.524,1.86433,,1.325,1.86433,,1.524,1.86433,,2.808,2.03699,,1.524,1.86433,,1.524,1.86433
1.246,1.98936,0.12503,2.915,2.08387,0.04688,,,,2.915,2.08387,,1.528,1.98936,,1.528,1.98936,,1.246,1.98936,,1.528,1.98936,,2.915,2.08387,,1.528,1.98936,,1.528,1.98936
1.173,2.02041,0.03105,3.031,2.14637,0.0625,,,,3.031,2.14637,,1.536,2.02041,,1.536,2.02041,,1.173,2.02041,,1.536,2.02041,,3.031,2.14637,,1.536,2.02041,,1.536,2.02041
1.116,2.06728,0.04687,3.118,2.2245,0.07813,,,,3.118,2.2245,,1.546,2.06728,,1.546,2.06728,,1.116,2.06728,,1.546,2.06728,,3.118,2.2245,,1.546,2.06728,,1.546,2.06728
